section,array,year,scope,metric,value,unit,notes
correlation,Hanwha,2023,past_only,mean_vs_next_ramp_spearman,0.04763707482165257,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,mean_vs_hour_ramp_pearson,-0.03470190288400888,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,mean_vs_hour_ramp_spearman,0.010740004888061015,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,mean_vs_abs_hour_ramp_pearson,0.5290428190489849,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,mean_vs_abs_hour_ramp_spearman,0.8282683373702815,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,std_vs_next_ramp_pearson,-0.03989996444353206,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,std_vs_next_ramp_spearman,0.03618895369301571,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,std_vs_hour_ramp_pearson,-0.07308606345182393,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,std_vs_hour_ramp_spearman,-0.03317143473240707,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,std_vs_abs_hour_ramp_pearson,0.41537819471084575,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,std_vs_abs_hour_ramp_spearman,0.8404693962176905,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,minimum_vs_next_ramp_pearson,0.05363185445001864,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,minimum_vs_next_ramp_spearman,0.030295438362068796,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,minimum_vs_hour_ramp_pearson,-0.006867215555745418,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,minimum_vs_hour_ramp_spearman,0.01593018524678806,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,minimum_vs_abs_hour_ramp_pearson,0.4962640083924169,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,minimum_vs_abs_hour_ramp_spearman,0.8246937073517182,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,maximum_vs_next_ramp_pearson,0.02315705869424412,r,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,maximum_vs_next_ramp_spearman,0.04615271184193397,rho,"Feature interval is (t-5min,t]; target begins at t."
correlation,Hanwha,2023,past_only,maximum_vs_hour_ramp_pearson,-0.06238202702277474,r,"Feature interval is (t-5min,t]; target begins at t."
