section,model,seed,scope,horizon,rmse_kw,mae_kw,diff_mae_kw,artifact_source,n,positive_count,prevalence,auroc,auprc,brier,f1,precision,recall,miss_rate,onset_time_mae_steps,onset_time_mae_minutes,onset_time_n,up_count,down_count,up_recall,down_recall,direction_accuracy,identification_rate,probability_bin,mean_predicted_probability,observed_event_rate,actual_epochs,best_epoch,best_validation_first_event_nll,stop_reason,numerically_finite,training_seconds,mean_epoch_seconds,backbone_parameters,power_head_parameters,event_head_parameters,total_inference_parameters,trainable_parameters,trainable_fraction,inference_ms_per_sample,threshold_kw,power_max_abs_difference_kw,power_mean_abs_difference_kw,max_abs_difference_kw,mean_abs_difference_kw,rmse_difference_kw,mae_difference_kw
onset_lead,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,160,160,0.009194873857824262,,,,,,,,,,,100,60,,,,0.44375,,,,,,,,,,,,,,,,,,,,,,,,
reliability,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,7434,,,,,,,,,,,,,,,,,,,"[0.0,0.1)",0.004446782637387514,0.0,,,,,,,,,,,,,,,,,,,,,
reliability,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,244,,,,,,,,,,,,,,,,,,,"[0.1,0.2)",0.14355994760990143,0.0,,,,,,,,,,,,,,,,,,,,,
reliability,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,170,,,,,,,,,,,,,,,,,,,"[0.2,0.3)",0.2482333481311798,0.0,,,,,,,,,,,,,,,,,,,,,
reliability,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,126,,,,,,,,,,,,,,,,,,,"[0.3,0.4)",0.3559684455394745,0.0,,,,,,,,,,,,,,,,,,,,,
reliability,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,95,,,,,,,,,,,,,,,,,,,"[0.4,0.5)",0.4535418450832367,0.021052631578947368,,,,,,,,,,,,,,,,,,,,,
reliability,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,104,,,,,,,,,,,,,,,,,,,"[0.5,0.6)",0.5472162961959839,0.019230769230769232,,,,,,,,,,,,,,,,,,,,,
reliability,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,112,,,,,,,,,,,,,,,,,,,"[0.6,0.7)",0.6457589268684387,0.026785714285714284,,,,,,,,,,,,,,,,,,,,,
reliability,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,154,,,,,,,,,,,,,,,,,,,"[0.7,0.8)",0.754480242729187,0.09090909090909091,,,,,,,,,,,,,,,,,,,,,
reliability,STEP_MULTITASK,42,full_timeline,12,,,,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_joint_trajectory_onset_screen\results\STEP_MULTITASK\42\test_predictions.npz,249,,,,,,,,,,,,,,,,,,,"[0.8,0.9)",0.8566833138465881,0.15261044176706828,,,,,,,,,,,,,,,,,,,,,
