site,model,h,support,analysis,scope,selected_alpha,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
NIST_GROUND,Ridge,48,common_H144,primary,power-active,0.1,369075,11242,1045043378.5813875,14340633.941881364,-4362627.349723869,53.21203214166034,38.85560913603296,-11.820435818529754
NIST_GROUND,Ridge,48,common_H144,primary,low-power,0.1,681405,17742,371192811.78031534,12490578.81375114,9029632.36375393,23.33979948855609,18.330623951616353,13.251491203841958
NIST_GROUND,Ridge,48,common_H144,daily_matched,full,0.1,1041445,21885,1399973342.7083824,26592677.24464347,4680642.208430232,36.66415780605847,25.534403876002543,4.494372922650962
NIST_GROUND,Ridge,48,common_H144,daily_matched,power-active,0.1,365900,11239,1032086032.5782156,14205540.349295972,-4269794.672249836,53.110054319782755,38.82355930389716,-11.669293993577032
NIST_GROUND,Ridge,48,common_H144,daily_matched,low-power,0.1,675545,17738,367887310.13016707,12387136.89534749,8950436.880680071,23.33620664294813,18.336508885932826,13.249208980423319
NIST_GROUND,Ridge,96,horizon_specific,primary,full,0.1,2211552,23037,4831190468.411431,78139580.32106826,19582759.369928204,46.73890163095655,35.33246350122821,8.854758725966292
NIST_GROUND,Ridge,96,horizon_specific,primary,power-active,0.1,775182,15700,3052536755.1398926,37386580.8528433,-14107643.02499417,62.752150145941584,48.22942335199127,-18.199136493099903
NIST_GROUND,Ridge,96,horizon_specific,primary,low-power,0.1,1436370,22114,1778653713.2715364,40752999.46822491,33690402.39492236,35.18945484049511,28.37221570223892,23.455239523884767
NIST_GROUND,Ridge,96,horizon_specific,daily_matched,full,0.1,2194678,23037,4787324001.898817,77532069.06632155,19501787.104571983,46.704745024806925,35.32730954897327,8.885944591676767
NIST_GROUND,Ridge,96,horizon_specific,daily_matched,power-active,0.1,769372,15697,3022527378.1492567,37081915.010294355,-13930984.03731953,62.67826024378177,48.19764042660034,-18.106954811611978
NIST_GROUND,Ridge,96,horizon_specific,daily_matched,low-power,0.1,1425306,22114,1764796623.749559,40450154.05602713,33432771.141891506,35.18789403325585,28.379978794748027,23.456556796850293
NIST_GROUND,Ridge,96,common_H144,primary,full,0.1,2100960,21885,4507638875.808158,73655179.8000619,19179676.756073713,46.319692317772834,35.05786868862896,9.129006147700915
NIST_GROUND,Ridge,96,common_H144,primary,power-active,0.1,732543,14873,2819248180.6025124,34955968.260148555,-12626355.221583074,62.03690074171292,47.718657143879,-17.236333186697674
