site,model,seed,neural_source,h,hours,support,analysis,scope,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias,weighted_MSE_contribution
Hanwha,TCN,42,TCN,48,4.0,common_H144,primary,power-active,67179,2113,54314.49621037085,39682.43195094248,-29929.460727729707,0.899168554404474,0.5906969730264291,-0.4455181042845191,0.2502879903522951
Hanwha,TCN,42,TCN,48,4.0,common_H144,primary,low-power,149829,3737,8908.266371318532,25309.498581914253,-229.21376722245782,0.24383646685675575,0.1689225622670795,-0.001529835794288541,0.04105040538283626
Hanwha,TCN,42,TCN,48,4.0,common_H144,daily_matched,full,216583,4521,63181.583294123164,64892.900414220014,-30147.461863267206,0.540111059222509,0.299621394173227,-0.13919588270209207,0.2917199562944606
Hanwha,TCN,42,TCN,48,4.0,common_H144,daily_matched,power-active,67179,2113,54314.49621037085,39682.43195094248,-29929.460727729707,0.899168554404474,0.5906969730264291,-0.4455181042845191,0.2507791295271136
Hanwha,TCN,42,TCN,48,4.0,common_H144,daily_matched,low-power,149404,3737,8867.087083752307,25210.468463277524,-218.00113553749702,0.243618000469634,0.16874025101923326,-0.0014591385474116958,0.04094082676734696
Hanwha,TCN,42,TCN,96,8.0,common_H144,primary,full,434016,4521,242110.58359762517,189455.43153580002,-87798.4497854203,0.7468854812478165,0.4365171595881258,-0.20229311773165112,0.5578379220987825
Hanwha,TCN,42,TCN,96,8.0,common_H144,primary,power-active,163334,3169,213386.27389317646,135784.82665560517,-95394.79068153474,1.1429966064879404,0.8313322802086839,-0.5840473549997841,0.49165531660855005
Hanwha,TCN,42,TCN,96,8.0,common_H144,primary,low-power,270682,4191,28724.309704448737,53670.604880194864,7596.340896114449,0.3257580164947873,0.19827917955458754,0.028063709061239568,0.06618260549023247
Hanwha,TCN,42,TCN,96,8.0,common_H144,daily_matched,full,433159,4521,241888.45322434782,189138.1564600645,-87736.90170148,0.7472809264396042,0.43664833573829587,-0.20255126108768376,0.5584287830204332
Hanwha,TCN,42,TCN,96,8.0,common_H144,daily_matched,power-active,163334,3169,213386.27389317646,135784.82665560517,-95394.79068153474,1.1429966064879404,0.8313322802086839,-0.5840473549997841,0.49262805088472467
Hanwha,TCN,42,TCN,96,8.0,common_H144,daily_matched,low-power,269825,4191,28502.179331171363,53353.32980445934,7657.888980054737,0.32501091119769965,0.19773308553491833,0.028380946836115025,0.06580073213570851
Hanwha,TCN,42,TCN,144,12.0,common_H144,primary,full,651024,4521,342718.3983392079,292831.91984038474,-116753.96834284582,0.7255547843178934,0.44980203470284463,-0.17933896191668175,0.5264297450465849
Hanwha,TCN,42,TCN,144,12.0,common_H144,primary,power-active,287368,4225,295244.6087958236,215209.94190574682,-133175.3383611763,1.0136120977415415,0.7489001625293937,-0.46343134364708777,0.45350802550416514
Hanwha,TCN,42,TCN,144,12.0,common_H144,primary,low-power,363656,4521,47473.789543384344,77621.97793463792,16421.370018330497,0.3613113225007369,0.21344891307894803,0.045156329108637004,0.07292171954241985
Hanwha,TCN,42,TCN,144,12.0,common_H144,daily_matched,full,649735,4521,341971.21727051935,292210.47033508343,-116893.83528164908,0.7254820075895467,0.4497379244385533,-0.1799100175943255,0.5263241433361592
Hanwha,TCN,42,TCN,144,12.0,common_H144,daily_matched,power-active,287368,4225,295244.6087958236,215209.94190574682,-133175.3383611763,1.0136120977415415,0.7489001625293937,-0.46343134364708777,0.4544077336080457
Hanwha,TCN,42,TCN,144,12.0,common_H144,daily_matched,low-power,362367,4521,46726.60847469579,77000.52842933664,16281.503079527238,0.35909371977546467,0.21249321386698194,0.04493097627412882,0.07191640972811345
Hanwha,TCN,43,TCN,12,1.0,horizon_specific,primary,full,79500,6625,2233.574875924445,9004.687844375718,1031.8471108473668,0.16761647132119542,0.1132665137657323,0.012979208941476313,0.028095281458169124
Hanwha,TCN,43,TCN,12,1.0,horizon_specific,primary,power-active,36421,3225,1769.1747534736155,5739.128129393637,-338.4628960348964,0.22039890559875197,0.15757744513861885,-0.009293069823313375,0.02225377048394485
Hanwha,TCN,43,TCN,12,1.0,horizon_specific,primary,low-power,43079,3810,464.4001224508294,3265.5597149820805,1370.3100068822632,0.10382772928657753,0.07580398140583766,0.03180923435739602,0.005841510974224269
