site,model,seed,neural_source,lead,lead_hours,scope,points,origins,SSE,SAE,signed_error,RMSE,MAE,bias
Hanwha,TCN,42,TCN,43,3.5833333333333335,power-active,1625,1625,2786.4950749895074,1605.4818352442235,-1298.4558754321188,1.3094908170711024,0.9879888216887529,-0.7990497694966885
Hanwha,TCN,42,TCN,44,3.6666666666666665,full,4512,4512,3320.804393355856,2449.7004547037795,-1158.839994841459,0.8579008576206074,0.542930065315554,-0.25683510523968506
Hanwha,TCN,42,TCN,44,3.6666666666666665,power-active,1638,1638,2900.13611675547,1645.6829591442365,-1324.7943790380377,1.3306144707668275,1.0046904512480077,-0.8087877771904992
Hanwha,TCN,42,TCN,45,3.75,full,4512,4512,3424.663707704494,2504.3654009017046,-1132.2461835151917,0.8712131464605618,0.5550455232494913,-0.25094108677198396
Hanwha,TCN,42,TCN,45,3.75,power-active,1651,1651,2963.8097859534223,1680.5385205786442,-1333.8595433499431,1.3398359523224965,1.0178912904776767,-0.8079100807691963
Hanwha,TCN,42,TCN,46,3.8333333333333335,full,4512,4512,3567.687215552325,2550.9970256236193,-1165.4738507643997,0.8892192187811268,0.5653805464591355,-0.2583053747261524
Hanwha,TCN,42,TCN,46,3.8333333333333335,power-active,1664,1664,3099.0715225529852,1726.0615570941009,-1364.701748313848,1.3647061185455953,1.0372966088305895,-0.8201332622078413
Hanwha,TCN,42,TCN,47,3.9166666666666665,full,4512,4512,3727.1967118688726,2594.0013748590063,-1237.9261873141004,0.9088801356805901,0.5749116522293897,-0.2743630734295435
Hanwha,TCN,42,TCN,47,3.9166666666666665,power-active,1677,1677,3262.6151374961346,1779.249589426443,-1420.2698831614107,1.394814302863628,1.0609717289364597,-0.846911081193447
Hanwha,TCN,42,TCN,48,4.0,full,4512,4512,3837.614797974551,2643.1407474819207,-1253.228863867269,0.9222446500720719,0.5858024706298584,-0.2777546240840578
Hanwha,TCN,42,TCN,48,4.0,power-active,1690,1690,3347.774786600661,1814.300561414333,-1432.201908313902,1.4074557990895926,1.0735506280558185,-0.8474567504815989
Hanwha,TCN,42,TCN,49,4.083333333333333,full,4512,4512,3952.2414305218153,2688.06526335315,-1270.7139097919207,0.9359166807789737,0.5957591452467088,-0.28162985589359946
Hanwha,TCN,42,TCN,49,4.083333333333333,power-active,1703,1703,3443.9038549778334,1850.5369258737192,-1448.7920035263523,1.4220608665003094,1.086633544259377,-0.8507293033037888
Hanwha,TCN,42,TCN,50,4.166666666666667,full,4512,4512,4045.064963933705,2715.293283086932,-1258.736910237967,0.9468435060691428,0.6017937240884158,-0.2789753790421026
Hanwha,TCN,42,TCN,50,4.166666666666667,power-active,1716,1716,3521.5835249893425,1883.154382652603,-1462.9137107124552,1.4325518669117676,1.0974093139001184,-0.8525138174315007
Hanwha,TCN,42,TCN,51,4.25,full,4512,4512,4166.972382772229,2759.093592440353,-1304.3603045468117,0.9610052617978035,0.6115012394592981,-0.28908694692970116
Hanwha,TCN,42,TCN,51,4.25,power-active,1729,1729,3629.3836772958334,1923.2108109135297,-1499.929986691859,1.448835051327373,1.1123255123849218,-0.8675130056054708
Hanwha,TCN,42,TCN,52,4.333333333333333,full,4512,4512,4256.825051844573,2808.3651020676825,-1322.8888821436467,0.9713111080300554,0.6224213435433693,-0.2931934579219075
Hanwha,TCN,42,TCN,52,4.333333333333333,power-active,1742,1742,3687.008639677752,1954.6820971466786,-1516.402138742078,1.4548325266647184,1.122090756111756,-0.8704949131699644
Hanwha,TCN,42,TCN,53,4.416666666666667,full,4512,4512,4400.02730567767,2845.51595842845,-1393.695326261246,0.9875137248437627,0.630655132630419,-0.30888637550116266
Hanwha,TCN,42,TCN,53,4.416666666666667,power-active,1755,1755,3830.0788101959442,2000.1256005077157,-1575.71279103891,1.4772884242526025,1.1396727068420032,-0.897842046176017
Hanwha,TCN,42,TCN,54,4.5,full,4512,4512,4455.941206473566,2855.78429086948,-1359.7088656126944,0.9937683945478042,0.6329309155295834,-0.30135391525104044
Hanwha,TCN,42,TCN,54,4.5,power-active,1768,1768,3873.6838295096986,2026.0182327430812,-1577.0204196300474,1.480201892015206,1.1459379144474442,-0.8919798753563617
