site,h,model,scope,RMSE_mean,RMSE_seed_SD,MAE_mean,bias_mean,points,weighted_MSE,Daily_weighted_MSE,MSE_contribution_difference_vs_Daily,full_points,target_fraction
Qcells,12,Inverted,power-active,0.45650839019043765,0.025228743180460214,0.3206201969388587,-0.0710151456765652,36504,0.09832219700963762,0.0787052659631874,0.019616931046450223,77530,0.47083709531794143
Qcells,12,Joint-patch,full,0.5322602259370005,0.04139549254875387,0.3671245404009418,-0.13056815395300767,77530,0.28444333931674276,0.0787056082203391,0.20573773109640364,77530,1.0
Qcells,12,Joint-patch,low-power,0.18813243818051614,0.04633049143715242,0.14944541422564322,0.07256067803553194,41026,0.019486330790063,3.422571516390916e-07,0.01948598853291136,77530,0.5291629046820585
Qcells,12,Joint-patch,power-active,0.748385445684045,0.06311034953605162,0.6117690678628033,-0.35885994282989314,36504,0.2649570085266797,0.0787052659631874,0.1862517425634923,77530,0.47083709531794143
Qcells,12,Last-value,full,0.4707947975337585,,0.2412849289159398,-0.0169605898513311,77530,0.2216477413848527,0.0787056082203391,0.1429421331645136,77530,1.0
Qcells,12,Last-value,low-power,0.0732399001222073,,0.0041404247472104,0.0035879491707672,41026,0.0028384737253136,3.422571516390916e-07,0.0028381314681619613,77530,0.5291629046820585
Qcells,12,Last-value,power-active,0.6817066340855725,,0.5078061437972211,-0.0400546168598948,36504,0.2188092676595391,0.0787052659631874,0.14010400169635168,77530,0.47083709531794143
Qcells,12,Recurrent,full,0.9231675119772951,0.5970982722832919,0.5454225624309155,-0.4204085889146489,77530,1.0899224863461445,0.0787056082203391,1.0112168781258055,77530,1.0
Qcells,12,Recurrent,low-power,0.09133677109623983,0.03649568101329177,0.06660247796612044,-0.0027491590804502677,41026,0.004884365295616201,3.422571516390916e-07,0.004884023038464562,77530,0.5291629046820585
Qcells,12,Recurrent,power-active,1.3417299443448847,0.8696965740619209,1.0835573636924947,-0.8898063471980654,36504,1.0850381210505282,0.0787052659631874,1.0063328550873407,77530,0.47083709531794143
Qcells,12,TCN,full,0.4161238819605754,0.11012492340443435,0.25238199817573587,-0.09027303687208921,77530,0.18124408430782724,0.0787056082203391,0.10253847608748813,77530,1.0
Qcells,12,TCN,low-power,0.08866973888575509,0.022267747117708837,0.06400317688066867,0.004760676940354997,41026,0.004335373982652533,3.422571516390916e-07,0.004335031725500894,77530,0.5291629046820585
Qcells,12,TCN,power-active,0.5985768873342948,0.16173135963081092,0.46409659171209977,-0.19707922640938202,36504,0.17690871032517463,0.0787052659631874,0.09820344436198723,77530,0.47083709531794143
Qcells,48,Daily,full,0.2805977979147047,,0.0697711076218254,-0.0060096265175084,263470,0.0787351241945814,0.0787351241945814,0.0,263470,1.0
