site,h,analysis,scope,block_hours,blocks,replicates,valid_replicates,skill,ci_low,ci_high
Qcells,12,daily_matched,full,48,12,2000,2000,-0.16690221915059214,-0.88887030782476,0.08300759935758444
Qcells,12,daily_matched,full,72,8,2000,2000,-0.1669022191505923,-0.8109940177320004,0.06850917478609027
Qcells,12,daily_matched,power-active,24,24,2000,2000,-0.11656035698698153,-0.6708892417000787,0.14712761352337345
Qcells,12,daily_matched,power-active,48,12,2000,2000,-0.11656035698698146,-0.7897801129730695,0.11463544758985707
Qcells,12,daily_matched,power-active,72,8,2000,2000,-0.11656035698698146,-0.7085524309236967,0.09881415270437664
Qcells,12,daily_matched,low-power,24,24,2000,2000,-158.15863803763855,-197.60909366820601,-131.0062493098675
Qcells,12,daily_matched,low-power,48,12,2000,2000,-158.15863803763853,-195.56959862923068,-136.3570098973796
Qcells,12,daily_matched,low-power,72,8,2000,2000,-158.15863803763853,-184.47688141383887,-141.30437835478472
Qcells,48,primary,full,24,24,2000,2000,0.382424380268497,0.32453999575173564,0.43825826303763205
Qcells,48,primary,full,48,12,2000,2000,0.38242438026849684,0.30829780677827634,0.46118711772325066
Qcells,48,primary,full,72,8,2000,2000,0.38242438026849684,0.29763126903190223,0.4487004759737811
Qcells,48,primary,power-active,24,24,2000,2000,0.3911856324701262,0.3322909089430037,0.4484081857917914
Qcells,48,primary,power-active,48,12,2000,2000,0.39118563247012617,0.316172707308143,0.4716826737383082
Qcells,48,primary,power-active,72,8,2000,2000,0.39118563247012617,0.30451900996791864,0.4589788134501847
Qcells,48,primary,low-power,24,24,2000,2000,-0.5338529149420658,-0.7240413438871707,-0.3713610136127223
Qcells,48,primary,low-power,48,12,2000,2000,-0.5338529149420655,-0.7781328177534941,-0.3197083220468665
Qcells,48,primary,low-power,72,8,2000,2000,-0.5338529149420658,-0.8017784116708562,-0.2685818996646742
Qcells,48,daily_matched,full,24,24,2000,2000,-1.8780188918103977,-3.438693976444713,-1.2584138555784532
Qcells,48,daily_matched,full,48,12,2000,2000,-1.8780188918103977,-3.8581152351939756,-1.10004614191462
Qcells,48,daily_matched,full,72,8,2000,2000,-1.8780188918103982,-3.3879944835642113,-1.2717228543135055
Qcells,48,daily_matched,power-active,24,24,2000,2000,-1.829848510245286,-3.36328073738193,-1.220396112316474
Qcells,48,daily_matched,power-active,48,12,2000,2000,-1.829848510245286,-3.7727445289915726,-1.0677757698267658
Qcells,48,daily_matched,power-active,72,8,2000,2000,-1.8298485102452862,-3.3062248715445683,-1.2410739806088094
Qcells,48,daily_matched,low-power,24,24,2000,2000,-251.82110365807978,-327.83127931456465,-198.48316283524974
Qcells,48,daily_matched,low-power,48,12,2000,2000,-251.8211036580799,-329.9882494414465,-202.2486505766935
Qcells,48,daily_matched,low-power,72,8,2000,2000,-251.82110365807986,-316.8563840308748,-207.1247767424275
Qcells,96,primary,full,24,24,2000,2000,0.4467424502493011,0.3687392084304934,0.5249343195932793
Qcells,96,primary,full,48,12,2000,2000,0.4467424502493012,0.34678598044058384,0.5558197858811145
Qcells,96,primary,full,72,8,2000,2000,0.4467424502493012,0.3438991971300057,0.5347331296217107
Qcells,96,primary,power-active,24,24,2000,2000,0.4583771619071082,0.3795807165228388,0.5368856733474401
Qcells,96,primary,power-active,48,12,2000,2000,0.45837716190710825,0.3596455583150162,0.5676528078649911
Qcells,96,primary,power-active,72,8,2000,2000,0.45837716190710825,0.35453776246798535,0.5468955847962419
Qcells,96,primary,low-power,24,24,2000,2000,-2.3808237926835325,-2.8006457471913695,-1.96295276187198
Qcells,96,primary,low-power,48,12,2000,2000,-2.3808237926835307,-2.8762885396178075,-1.8413753389555474
Qcells,96,primary,low-power,72,8,2000,2000,-2.380823792683532,-2.939506410573532,-1.8523327468846198
Qcells,96,daily_matched,full,24,24,2000,2000,-3.4537245070303,-5.208539819783484,-2.584924276637435
Qcells,96,daily_matched,full,48,12,2000,2000,-3.4537245070303,-5.843880266487267,-2.373045313811862
Qcells,96,daily_matched,full,72,8,2000,2000,-3.4537245070302993,-4.978491608116013,-2.8083968087019144
Qcells,96,daily_matched,power-active,24,24,2000,2000,-3.357968470506551,-5.064823477712148,-2.498251921138473
Qcells,96,daily_matched,power-active,48,12,2000,2000,-3.357968470506551,-5.710580236812934,-2.301086806383686
Qcells,96,daily_matched,power-active,72,8,2000,2000,-3.357968470506552,-4.8487466562268215,-2.739776573816349
Qcells,96,daily_matched,low-power,24,24,2000,2000,-358.58769183697933,-450.2175206210771,-284.77334193771844
Qcells,96,daily_matched,low-power,48,12,2000,2000,-358.5876918369792,-450.25906775964756,-286.6647598304185
Qcells,96,daily_matched,low-power,72,8,2000,2000,-358.5876918369795,-440.6620427304188,-287.92519306653327
Qcells,144,primary,full,24,24,2000,2000,0.6511306387161598,0.6073167656368158,0.6940515671923878
Qcells,144,primary,full,48,12,2000,2000,0.6511306387161598,0.5945602432306191,0.7093825207201412
Qcells,144,primary,full,72,8,2000,2000,0.6511306387161598,0.5999345103548226,0.7010802491099236
Qcells,144,primary,power-active,24,24,2000,2000,0.6665014455876659,0.6234803051001501,0.7086929859657563
