site,h,analysis,scope,block_hours,blocks,replicates,valid_replicates,skill,ci_low,ci_high
Qcells,144,primary,power-active,48,12,2000,2000,0.6665014455876658,0.6103342300094136,0.7250546512784061
Qcells,144,primary,power-active,72,8,2000,2000,0.6665014455876658,0.6156313879716676,0.7160142525281916
Qcells,144,primary,low-power,24,24,2000,2000,-70.65153755602769,-83.15940529070322,-60.6817155389446
Qcells,144,primary,low-power,48,12,2000,2000,-70.65153755602773,-88.02140573406709,-57.5318456990365
Qcells,144,primary,low-power,72,8,2000,2000,-70.65153755602769,-90.02473824063645,-57.91127580692455
Qcells,144,daily_matched,full,24,24,2000,2000,-2.4628804795432764,-3.9252919204675636,-1.7612463608801108
Qcells,144,daily_matched,full,48,12,2000,2000,-2.4628804795432764,-4.2831578421654335,-1.57664958781338
Qcells,144,daily_matched,full,72,8,2000,2000,-2.4628804795432764,-3.910413392527564,-1.8096208346284102
Qcells,144,daily_matched,power-active,24,24,2000,2000,-2.3108602709322965,-3.705639743356797,-1.6428335014115487
Qcells,144,daily_matched,power-active,48,12,2000,2000,-2.310860270932297,-4.061004997376599,-1.4700669792742063
Qcells,144,daily_matched,power-active,72,8,2000,2000,-2.310860270932297,-3.6848544324336814,-1.7042470163428873
Qcells,144,daily_matched,low-power,24,24,2000,2000,-332.30576688579754,-404.7968733012787,-273.8759982659668
Qcells,144,daily_matched,low-power,48,12,2000,2000,-332.3057668857976,-407.74521991043844,-271.3089133514408
Qcells,144,daily_matched,low-power,72,8,2000,2000,-332.3057668857977,-396.0448440398748,-276.4705413901739
Sanyo,12,primary,full,24,24,2000,2000,0.44806596017358635,0.4190405700461542,0.47554161889990504
Sanyo,12,primary,full,48,12,2000,2000,0.44806596017358635,0.4172441285171339,0.4760209986962513
Sanyo,12,primary,full,72,8,2000,2000,0.4480659601735863,0.41425932537562654,0.47583401886732357
Sanyo,12,primary,power-active,24,24,2000,2000,0.5240818760899825,0.48631199107447465,0.5570613383449678
Sanyo,12,primary,power-active,48,12,2000,2000,0.5240818760899825,0.48364767290570015,0.5582383736586278
Sanyo,12,primary,power-active,72,8,2000,2000,0.5240818760899822,0.4800134774347582,0.5608613897612283
Sanyo,12,primary,low-power,24,24,2000,2000,-0.2736959893357373,-0.42869989890206034,-0.13511414171719405
Sanyo,12,primary,low-power,48,12,2000,2000,-0.2736959893357375,-0.4232119707250928,-0.15760596548871755
Sanyo,12,primary,low-power,72,8,2000,2000,-0.2736959893357374,-0.462458389279617,-0.11638129467342256
Sanyo,12,daily_matched,full,24,24,2000,2000,-0.46113494950370115,-4.579617967682849,0.026613241240698905
Sanyo,12,daily_matched,full,48,12,2000,2000,-0.4611349495037007,-4.730980467868746,0.08089773715236448
Sanyo,12,daily_matched,full,72,8,2000,2000,-0.4611349495037007,-4.375875795634505,0.06893011289906638
Sanyo,12,daily_matched,power-active,24,24,2000,2000,-0.22641678171285862,-3.571597597194362,0.17679113370601024
Sanyo,12,daily_matched,power-active,48,12,2000,2000,-0.2264167817128581,-3.761354881220625,0.2059422764575121
Sanyo,12,daily_matched,power-active,72,8,2000,2000,-0.2264167817128578,-3.4476473160047956,0.19480403286027828
Sanyo,12,daily_matched,low-power,24,24,2000,2000,-75.89097584792803,-136.72995265625798,-54.558420053512336
Sanyo,12,daily_matched,low-power,48,12,2000,2000,-75.89097584792803,-143.80752038266252,-53.406172091497936
