site,scope,block_hours,block,start,count,Ridge A_SSE,Ridge B_SSE,Daily_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE
YULARA_COMBINED,low-power,24,1,2017-10-02 00:00:00,21086.0,2599696.8055980685,79674.15810096076,180.75189909377121,633957.1648901693,452375.2647962129,572203.2740972228
YULARA_COMBINED,low-power,24,2,2017-10-03 00:00:00,21043.0,2612353.5071352934,61088.98826575374,115.34145383668776,878713.930554455,630287.9903499344,803316.6986524443
YULARA_COMBINED,low-power,24,3,2017-10-04 00:00:00,21024.0,2536242.090483447,41588.11497694573,79.27271852139758,816859.3045449597,429545.48793218436,632183.6248251282
YULARA_COMBINED,low-power,24,4,2017-10-05 00:00:00,22083.0,12188016.898477634,261852.34709554294,75608.28447974159,1323898.0069297487,902640.9425985963,1287551.826762572
YULARA_COMBINED,low-power,24,5,2017-10-06 00:00:00,22901.0,17156983.957182594,518857.7241837698,143170.74647724463,1571526.744628438,1844664.899600547,2059843.0957033592
YULARA_COMBINED,low-power,24,6,2017-10-07 00:00:00,21976.0,12360209.746314619,292567.77561949694,134.06869187002613,1840120.6920337596,2374734.831106215,2728664.291173059
YULARA_COMBINED,low-power,24,7,2017-10-08 00:00:00,20607.0,2996435.2062009466,44925.24713959184,35.01394844466515,651390.7957417959,653922.8626795135,827757.1082236228
YULARA_COMBINED,low-power,24,8,2017-10-09 00:00:00,21009.0,7579407.482677082,103858.93796343856,2439.8131520595553,586331.24177154,456449.4656777306,631644.2682707863
YULARA_COMBINED,low-power,24,9,2017-10-10 00:00:00,21312.0,5636616.033739076,104401.5667391117,250.37770275864494,781945.4834546513,864580.914813721,1093797.0726105855
YULARA_COMBINED,low-power,24,10,2017-10-11 00:00:00,20672.0,3761080.3055828777,76268.53095243611,134.10494598070164,883911.3576857072,735857.899776803,977387.998633952
YULARA_COMBINED,low-power,24,11,2017-10-12 00:00:00,20671.0,4078569.454191637,45387.70145569114,91.15415688359214,542354.5754790135,288374.6708655949,421888.26560372784
YULARA_COMBINED,low-power,24,12,2017-10-13 00:00:00,20448.0,2163068.9941146453,42618.42425470852,46.874797931315946,766768.7419083377,498677.69278420636,728193.6501443471
YULARA_COMBINED,low-power,24,13,2017-10-14 00:00:00,20369.0,4456351.309636977,66445.07348160025,190.23718940708923,629269.596902143,359094.27505208174,527508.0146440468
YULARA_COMBINED,low-power,24,14,2017-10-15 00:00:00,20527.0,2330556.8167965887,70438.08482762442,242.3671488634642,506593.98354265944,258993.67841987673,394053.16220380063
YULARA_COMBINED,low-power,24,15,2017-10-16 00:00:00,20448.0,2051711.4639335128,58125.814323907936,3.961240796517754,677535.2116000581,413663.80285690876,653245.2428784299
YULARA_COMBINED,low-power,24,16,2017-10-17 00:00:00,20448.0,2329807.152977854,51203.08607290607,1.761692428898147,542765.0114823015,231558.7403017523,398216.8047312982
YULARA_COMBINED,low-power,24,17,2017-10-18 00:00:00,20448.0,2100013.5773674124,42600.50290856839,2.0401216599903127,639833.9141671932,296009.5113794946,507881.01639671635
YULARA_COMBINED,low-power,24,18,2017-10-19 00:00:00,20448.0,2928487.5782472296,73858.06552058306,5.083333590698639,881633.5992543494,500564.5494552354,763193.5568634683
YULARA_COMBINED,low-power,24,19,2017-10-20 00:00:00,20448.0,2212322.2297516116,68570.84141570934,8.393218975163617,854571.6058987585,486113.85189064866,758502.2148879877
YULARA_COMBINED,low-power,24,20,2017-10-21 00:00:00,20448.0,1637036.25240559,69071.89099722492,4.6078239523640026,662542.4097693725,355857.46071794716,579788.3043461816
YULARA_COMBINED,low-power,24,21,2017-10-22 00:00:00,20304.0,1826120.82386302,84593.52474729027,21.680685344652538,297477.57061220525,130728.96329895996,243230.76877115146
YULARA_COMBINED,low-power,24,22,2017-10-23 00:00:00,20382.0,3436054.440266384,67908.08008571756,41.06481183794505,730971.5754031264,458994.03056696936,637114.8888656177
YULARA_COMBINED,low-power,24,23,2017-10-24 00:00:00,20237.0,2778734.738681099,39366.19966099493,21.699463612032314,741960.912810513,433025.7531772087,712304.4998878072
