site,scope,block_hours,blocks,nonempty_blocks,points,reference,rmse_B,rmse_reference,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,replicates,valid_replicates
Hanwha,low-power,24,24,24,362367,Inverted43,0.11542494145749413,0.36026605114226545,-0.24484110968477132,-0.281734047181762,-0.21171348524329295,0.6796119393111677,0.6567524134756642,0.6991291420813514,2000,2000
Hanwha,low-power,24,24,24,362367,Inverted44,0.11542494145749413,0.3981856421573957,-0.28276070069990156,-0.35110574080491036,-0.22558859520991126,0.7101227939005679,0.6744168311067879,0.7385882431002094,2000,2000
Hanwha,low-power,24,24,24,362367,Inverted mean,0.11542494145749413,0.3609151294954592,-0.24549018803796505,-0.2874432735723561,-0.20715649400077416,0.6779358500037405,0.6509794605262692,0.6984442154202016,2000,2000
Hanwha,low-power,48,12,12,362367,Ridge A,0.11542494145749413,0.5131949256651154,-0.3977699842076212,-0.4813809758148018,-0.3260805275211614,0.7750855753144869,0.7450874387687539,0.7949395934451902,2000,2000
Hanwha,low-power,48,12,12,362367,Daily,0.11542494145749413,0.0016356166999813766,0.11378932475751276,0.09873944232471434,0.13187149171191034,-69.56967653779053,-93.51049840144803,-54.452622053353224,2000,2000
Hanwha,low-power,48,12,12,362367,Inverted42,0.11542494145749413,0.32429369518671647,-0.20886875372922234,-0.2548209909632205,-0.16399333699972352,0.6440728167994858,0.5994904217541807,0.6821161745262435,2000,2000
Hanwha,low-power,48,12,12,362367,Inverted43,0.11542494145749413,0.36026605114226545,-0.24484110968477132,-0.2938641237425464,-0.20415629489552936,0.6796119393111677,0.6512016556961584,0.7018875426826623,2000,2000
Hanwha,low-power,48,12,12,362367,Inverted44,0.11542494145749413,0.3981856421573957,-0.28276070069990156,-0.36601961132154165,-0.21630514659876304,0.7101227939005679,0.6694730294700254,0.7380957579670302,2000,2000
Hanwha,low-power,48,12,12,362367,Inverted mean,0.11542494145749413,0.3609151294954592,-0.24549018803796505,-0.3023583766304073,-0.19646749776604058,0.6779358500037405,0.6425588550634265,0.7027408280441968,2000,2000
Hanwha,low-power,72,8,8,362367,Ridge A,0.1154249414574941,0.5131949256651154,-0.3977699842076213,-0.47797411007978796,-0.33426301577095174,0.7750855753144869,0.7496491580183311,0.7948693275829263,2000,2000
Hanwha,low-power,72,8,8,362367,Daily,0.1154249414574941,0.0016356166999813761,0.11378932475751273,0.09811886256524924,0.13468127760892304,-69.56967653779054,-99.4635373614543,-51.3284346798661,2000,2000
Hanwha,low-power,72,8,8,362367,Inverted42,0.1154249414574941,0.3242936951867165,-0.20886875372922242,-0.251277289223533,-0.17695632962081678,0.644072816799486,0.6144580058537813,0.6658891232909806,2000,2000
Hanwha,low-power,72,8,8,362367,Inverted43,0.1154249414574941,0.3602660511422655,-0.2448411096847714,-0.29995331284895904,-0.2064080087496554,0.6796119393111677,0.6493056667267152,0.6989499818006792,2000,2000
Hanwha,low-power,72,8,8,362367,Inverted44,0.1154249414574941,0.3981856421573957,-0.2827607006999016,-0.3758294351339319,-0.21736366262110027,0.7101227939005679,0.663229481545873,0.7400908758128922,2000,2000
Hanwha,low-power,72,8,8,362367,Inverted mean,0.1154249414574941,0.3609151294954593,-0.24549018803796518,-0.308741790890865,-0.20110558900029687,0.6779358500037406,0.6439590219302177,0.6989350140694995,2000,2000
Qcells,full,24,24,24,431150,Ridge A,0.2365203074245268,0.8390629137713769,-0.6025426063468501,-0.667852603430819,-0.5436051358407732,0.7181137390980284,0.6794420778435184,0.758184117035884,2000,2000
Qcells,full,24,24,24,431150,Daily,0.2365203074245268,0.2436161755763381,-0.007095868151811319,-0.04768723723414832,0.03566402336076826,0.02912724549190615,-0.20285553766000344,0.1529395392148998,2000,2000
Qcells,full,24,24,24,431150,Inverted42,0.2365203074245268,0.8464913230352182,-0.6099710156106914,-0.698602996795575,-0.52197181992866,0.7205874401920049,0.681953969557391,0.761312033529479,2000,2000
Qcells,full,24,24,24,431150,Inverted43,0.2365203074245268,0.8685733136652152,-0.6320530062406884,-0.7255910048758748,-0.5473004549279139,0.727691026533551,0.6837340179691036,0.7713366956799296,2000,2000
Qcells,full,24,24,24,431150,Inverted44,0.2365203074245268,0.8157764600124328,-0.579256152587906,-0.6668192931953493,-0.4964671542954453,0.7100672561440151,0.6659803545950886,0.754920739037499,2000,2000
Qcells,full,24,24,24,431150,Inverted mean,0.2365203074245268,0.8436136989042887,-0.6070933914797619,-0.6954740126314185,-0.5227060261143683,0.719448574289857,0.6776908118396571,0.7623740466280963,2000,2000
Qcells,full,48,12,12,431150,Ridge A,0.2365203074245268,0.8390629137713769,-0.6025426063468501,-0.6731543273129852,-0.5447295144378526,0.7181137390980284,0.6702952709878941,0.7678698104152826,2000,2000
Qcells,full,48,12,12,431150,Daily,0.2365203074245268,0.2436161755763381,-0.007095868151811319,-0.052475793651891665,0.049419364521460854,0.02912724549190615,-0.3130808992184307,0.15181162728644162,2000,2000
