section,split,seed,scope,horizon,value,n,rmse_kw,mae_kw,bias_kw,r2,diff_mae_kw,prediction_to_truth_std_ratio,prediction_to_truth_change_amplitude_ratio,change_direction_accuracy,sse_share,mean_window_bias_kw,mean_peak_error_kw,mean_max_abs_error_kw,mean_energy_sum_error_kw_steps,mean_true_tv_kw,mean_pred_tv_kw,aggregate_tv_ratio,mean_peak_rate_ratio,dominant_best_lag_steps,mean_best_lag_steps,raw_window_rmse_kw,lag_aligned_window_rmse_kw,lag_alignment_gain_kw,tv_ratio,event_count,event_rate,threshold_kw,prediction_shape,labels_finite,predictions_finite,checkpoint_epoch,checkpoint_validation_rmse_kw,target_center,target_scale,saved_prediction_max_abs_difference_kw,artifact_source,train_spearman,validation_spearman,uses_only_origin_or_past,validation_r2,validation_mae_kw,baseline_mae_kw
artifact_check,test,42,complete_split,12,,17401,,,,,,,,,,,,,,,,,,,,,,,,,,,"(17401, 12)",True,True,15,0.4413650929927826,1.418499231338501,1.9549015760421753,1.9073486328125e-06,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16\GFNODE_experiments\asoc_multirate_information_screen\results\MEAN_ONLY\42\best_validation.pt,,,,,,
lead_time,train,43,full_timeline,1,,66842,0.24463852275289402,0.0992526262998581,-0.0031060390174388885,0.9843250847134486,0.0992526262998581,0.9796662330627441,1.0706361532211304,0.32950839292660306,0.04712488129734993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,2,,66842,0.28472331901018566,0.10982073843479156,0.00444050645455718,0.9787714268504623,0.07459897547960281,0.9837310314178467,0.5027644634246826,0.37681397923461296,0.06383320689201355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,3,,66842,0.30156184132163105,0.11635126918554306,-0.0003458938736002892,0.9761904909446194,0.08721674233675003,0.9979541301727295,0.693210780620575,0.3836360372221059,0.07160665094852448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,4,,66842,0.3107920704334516,0.11821378022432327,0.0004355628334451467,0.9747151609556052,0.07121144980192184,0.9931647777557373,0.4531329870223999,0.37266987822028064,0.07605721801519394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,5,,66842,0.320728369310525,0.13639721274375916,-0.010143482126295567,0.9730772914260479,0.08494942635297775,1.0046719312667847,0.5535616874694824,0.37588641871876965,0.08099818974733353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,6,,66842,0.32771078713685264,0.1407436579465866,-0.014203647151589394,0.971896986970684,0.0717850923538208,1.004154920578003,0.5157410502433777,0.3990754316148529,0.08456332236528397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,7,,66842,0.3359370564302577,0.1484624296426773,-0.011667127721011639,0.97047312189923,0.07625840604305267,1.0081944465637207,0.3779614567756653,0.36577301696538106,0.08886206150054932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,8,,66842,0.3415125181722896,0.15057601034641266,-0.013430523686110973,0.96948973556611,0.07299041002988815,1.0072362422943115,0.5639340281486511,0.3979533826037521,0.09183618426322937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,9,,66842,0.3453991949419934,0.14876993000507355,-0.014798778109252453,0.968796093136291,0.0737907662987709,1.0006890296936035,0.46890702843666077,0.3611800963466084,0.09393841028213501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,10,,66842,0.3507087301212976,0.15175339579582214,-0.019468259066343307,0.9678337394929395,0.07385893166065216,0.9984358549118042,0.5464729070663452,0.3966817270578379,0.09684868901968002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,11,,66842,0.35642344786589714,0.15308836102485657,-0.015842191874980927,0.9667815464037192,0.07295219600200653,0.998348593711853,0.5448369979858398,0.3976990514945693,0.10003065317869186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lead_time,train,43,full_timeline,12,,66842,0.36395085059416504,0.16344520449638367,-0.019815251231193542,0.9653685416058179,0.07424741238355637,1.0031518936157227,0.5158064961433411,0.39523054367014754,0.10430041700601578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
