condition,seed,horizon,scope,rmse_kw,nrmse,mae_kw,r2,trajectory_diff_mae_kw,parameter_count,parameter_difference_vs_mean_only_pct,actual_epochs,best_epoch,best_validation_rmse_kw,training_seconds,mean_epoch_seconds,inference_seconds,inference_ms_per_sample,test_samples,ramp_threshold_kw
HF_DYNAMICS,42,3,ramp,0.8321734383025697,0.13209102195278885,0.6223961114883423,0.6637390414226308,0.1367175132036209,75404,1.2895599376712696,12,7,0.4553034007549286,35.795547199999874,2.972611625000013,0.46736220000002504,0.026858352968221658,17401,0.15069979429244995
HF_DYNAMICS,42,6,regular_full_timeline,0.4445784525289044,0.07056800833792133,0.2142404466867447,0.9407438957909897,0.13302414119243622,75404,1.2895599376712696,12,7,0.4553034007549286,35.795547199999874,2.972611625000013,0.46736220000002504,0.026858352968221658,17401,0.15069979429244995
HF_DYNAMICS,42,6,daylight,0.6178050754006444,0.09806429768264198,0.38429388403892517,0.8829379406837551,0.13302414119243622,75404,1.2895599376712696,12,7,0.4553034007549286,35.795547199999874,2.972611625000013,0.46736220000002504,0.026858352968221658,17401,0.15069979429244995
HF_DYNAMICS,42,6,ramp,0.8987232583090496,0.1426544854458809,0.6694749593734741,0.6078769235849886,0.13302414119243622,75404,1.2895599376712696,12,7,0.4553034007549286,35.795547199999874,2.972611625000013,0.46736220000002504,0.026858352968221658,17401,0.15069979429244995
HF_DYNAMICS,42,12,regular_full_timeline,0.4929209043616772,0.0782414133907424,0.24139860272407532,0.9271139087026934,0.13625378906726837,75404,1.2895599376712696,12,7,0.4553034007549286,35.795547199999874,2.972611625000013,0.46736220000002504,0.026858352968221658,17401,0.15069979429244995
HF_DYNAMICS,42,12,daylight,0.6852378692207323,0.10876791574932258,0.43558013439178467,0.8559185606947047,0.13625378906726837,75404,1.2895599376712696,12,7,0.4553034007549286,35.795547199999874,2.972611625000013,0.46736220000002504,0.026858352968221658,17401,0.15069979429244995
HF_DYNAMICS,42,12,ramp,0.9681284972017487,0.1536711900320236,0.7244724035263062,0.5441712248582662,0.13625378906726837,75404,1.2895599376712696,12,7,0.4553034007549286,35.795547199999874,2.972611625000013,0.46736220000002504,0.026858352968221658,17401,0.15069979429244995
HF_DYNAMICS,43,3,regular_full_timeline,0.4021310892388152,0.06383033162520876,0.19024556875228882,0.951520145341789,0.1370059996843338,75404,1.2895599376712696,12,7,0.46047940850257874,35.758162200000015,2.968269249999935,0.40088630000013836,0.02303811849894479,17401,0.15069979429244995
HF_DYNAMICS,43,3,daylight,0.5591261667213403,0.08875018519386355,0.3471675217151642,0.9041140846141476,0.1370059996843338,75404,1.2895599376712696,12,7,0.46047940850257874,35.758162200000015,2.968269249999935,0.40088630000013836,0.02303811849894479,17401,0.15069979429244995
HF_DYNAMICS,43,3,ramp,0.84021945800025,0.13336816793654763,0.6243423223495483,0.6572052143336558,0.1370059996843338,75404,1.2895599376712696,12,7,0.46047940850257874,35.758162200000015,2.968269249999935,0.40088630000013836,0.02303811849894479,17401,0.15069979429244995
HF_DYNAMICS,43,6,regular_full_timeline,0.4442338427952735,0.07051330838020214,0.2117704153060913,0.940835722522086,0.1386689841747284,75404,1.2895599376712696,12,7,0.46047940850257874,35.758162200000015,2.968269249999935,0.40088630000013836,0.02303811849894479,17401,0.15069979429244995
HF_DYNAMICS,43,6,daylight,0.6175496933899326,0.09802376085554486,0.3841594457626343,0.8830347051955374,0.1386689841747284,75404,1.2895599376712696,12,7,0.46047940850257874,35.758162200000015,2.968269249999935,0.40088630000013836,0.02303811849894479,17401,0.15069979429244995
HF_DYNAMICS,43,6,ramp,0.9051336779316053,0.14367201237009608,0.6719246506690979,0.6022631117198097,0.1386689841747284,75404,1.2895599376712696,12,7,0.46047940850257874,35.758162200000015,2.968269249999935,0.40088630000013836,0.02303811849894479,17401,0.15069979429244995
HF_DYNAMICS,43,12,regular_full_timeline,0.49352696729256046,0.07833761385596198,0.2424035668373108,0.9269345698655804,0.1371934562921524,75404,1.2895599376712696,12,7,0.46047940850257874,35.758162200000015,2.968269249999935,0.40088630000013836,0.02303811849894479,17401,0.15069979429244995
HF_DYNAMICS,43,12,daylight,0.6857856052249088,0.10885485797220776,0.4363522529602051,0.8556881285288617,0.1371934562921524,75404,1.2895599376712696,12,7,0.46047940850257874,35.758162200000015,2.968269249999935,0.40088630000013836,0.02303811849894479,17401,0.15069979429244995
HF_DYNAMICS,43,12,ramp,0.9726599574497145,0.15439046943646262,0.7269906401634216,0.5398941127735097,0.1371934562921524,75404,1.2895599376712696,12,7,0.46047940850257874,35.758162200000015,2.968269249999935,0.40088630000013836,0.02303811849894479,17401,0.15069979429244995
HF_DYNAMICS,44,3,regular_full_timeline,0.42110951169440525,0.06684277963403258,0.22718165814876556,0.9468361900623947,0.1446014791727066,75404,1.2895599376712696,10,5,0.45533809065818787,29.959463900000173,2.9849630600000183,0.4064917000000605,0.02336024941095687,17401,0.15069979429244995
HF_DYNAMICS,44,3,daylight,0.5789996824658961,0.09190471150252319,0.36975088715553284,0.8971766351808058,0.1446014791727066,75404,1.2895599376712696,10,5,0.45533809065818787,29.959463900000173,2.9849630600000183,0.4064917000000605,0.02336024941095687,17401,0.15069979429244995
HF_DYNAMICS,44,3,ramp,0.8535397174848021,0.13548249483885746,0.6373874545097351,0.6462501927110829,0.1446014791727066,75404,1.2895599376712696,10,5,0.45533809065818787,29.959463900000173,2.9849630600000183,0.4064917000000605,0.02336024941095687,17401,0.15069979429244995
HF_DYNAMICS,44,6,regular_full_timeline,0.4536611246392502,0.0720097023236905,0.23556941747665405,0.9382979778265337,0.14750239253044128,75404,1.2895599376712696,10,5,0.45533809065818787,29.959463900000173,2.9849630600000183,0.4064917000000605,0.02336024941095687,17401,0.15069979429244995
HF_DYNAMICS,44,6,daylight,0.6269150481738339,0.09951032510695777,0.39683088660240173,0.8794601626783776,0.14750239253044128,75404,1.2895599376712696,10,5,0.45533809065818787,29.959463900000173,2.9849630600000183,0.4064917000000605,0.02336024941095687,17401,0.15069979429244995
HF_DYNAMICS,44,6,ramp,0.9112462732581604,0.1446422655965334,0.6780335307121277,0.59687294052747,0.14750239253044128,75404,1.2895599376712696,10,5,0.45533809065818787,29.959463900000173,2.9849630600000183,0.4064917000000605,0.02336024941095687,17401,0.15069979429244995
HF_DYNAMICS,44,12,regular_full_timeline,0.49387104989077035,0.07839223014139213,0.24901290237903595,0.9268326500971453,0.14104034006595612,75404,1.2895599376712696,10,5,0.45533809065818787,29.959463900000173,2.9849630600000183,0.4064917000000605,0.02336024941095687,17401,0.15069979429244995
HF_DYNAMICS,44,12,daylight,0.6847330680806666,0.1086877885842328,0.43627452850341797,0.8561307615507828,0.14104034006595612,75404,1.2895599376712696,10,5,0.45533809065818787,29.959463900000173,2.9849630600000183,0.4064917000000605,0.02336024941095687,17401,0.15069979429244995
HF_DYNAMICS,44,12,ramp,0.9729881792654029,0.15444256813736554,0.7260832786560059,0.539583528153806,0.14104034006595612,75404,1.2895599376712696,10,5,0.45533809065818787,29.959463900000173,2.9849630600000183,0.4064917000000605,0.02336024941095687,17401,0.15069979429244995
