evaluated_targets,rmse,mae,r2,nrmse,horizon,scope,prefix_source,model,seed,dataset,parameters,actual_epochs,best_epoch,best_validation_loss,training_seconds
14871,1.158143162727356,0.9242662191390992,-0.10531747341156,0.1918460943557014,48,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Qcells,55257000,15,15,0.0199687369526005,133.34404910000012
289824,0.8817718029022217,0.5906486511230469,0.6726820468902588,0.1460652550945468,96,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Qcells,55257000,15,15,0.0199687369526005,133.34404910000012
77007,1.4885265827178955,1.2492295503616333,0.1468802690505981,0.2465740164338336,96,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Qcells,55257000,15,15,0.0199687369526005,133.34404910000012
434736,0.9041392207145692,0.6405677795410156,0.7817271947860718,0.1497704116643234,144,regular_full_timeline,same_H144_prediction,SharedPrivateModernTCN,44,Qcells,55257000,15,15,0.0199687369526005,133.34404910000012
187271,1.2585632801055908,1.0440692901611328,0.3386011123657226,0.2084806590051935,144,predefined_daylight,same_H144_prediction,SharedPrivateModernTCN,44,Qcells,55257000,15,15,0.0199687369526005,133.34404910000012
50124,0.1863563507795334,0.1520435810089111,0.98564213514328,0.0307627006735866,12,regular_full_timeline,same_H144_prediction,IndependentModernTCN,42,Sanyo,682896,24,19,0.017289038157711427,21.985115899999077
9219,0.2416929900646209,0.1818158477544784,0.9778164625167848,0.0398973744504051,12,predefined_daylight,same_H144_prediction,IndependentModernTCN,42,Sanyo,682896,24,19,0.017289038157711427,21.985115899999077
200496,0.5720483660697937,0.333529531955719,0.8706377148628235,0.0944306570857796,48,regular_full_timeline,same_H144_prediction,IndependentModernTCN,42,Sanyo,682896,24,19,0.017289038157711427,21.985115899999077
49254,1.0221402645111084,0.6734446883201599,0.6490185260772705,0.1687293986603929,48,predefined_daylight,same_H144_prediction,IndependentModernTCN,42,Sanyo,682896,24,19,0.017289038157711427,21.985115899999077
400992,0.7906337380409241,0.4801814258098602,0.8218008279800415,0.1305135506466627,96,regular_full_timeline,same_H144_prediction,IndependentModernTCN,42,Sanyo,682896,24,19,0.017289038157711427,21.985115899999077
136926,1.2315548658370972,0.9333741664886476,0.4600957632064819,0.2032984308952599,96,predefined_daylight,same_H144_prediction,IndependentModernTCN,42,Sanyo,682896,24,19,0.017289038157711427,21.985115899999077
601488,0.7864310145378113,0.5104381442070007,0.8543516993522644,0.129819787731692,144,regular_full_timeline,same_H144_prediction,IndependentModernTCN,42,Sanyo,682896,24,19,0.017289038157711427,21.985115899999077
263547,1.0926297903060913,0.8489676117897034,0.5494810342788696,0.1803654291663748,144,predefined_daylight,same_H144_prediction,IndependentModernTCN,42,Sanyo,682896,24,19,0.017289038157711427,21.985115899999077
50124,0.1412950158119201,0.1044787839055061,0.991746187210083,0.0233242186805536,12,regular_full_timeline,same_H144_prediction,IndependentModernTCN,43,Sanyo,682896,16,11,0.018373810065289337,15.244557900001382
9219,0.2177076935768127,0.1582577526569366,0.9820009469985962,0.0359380111481338,12,predefined_daylight,same_H144_prediction,IndependentModernTCN,43,Sanyo,682896,16,11,0.018373810065289337,15.244557900001382
200496,0.56702721118927,0.3377254903316498,0.8728986978530884,0.0936017919358712,48,regular_full_timeline,same_H144_prediction,IndependentModernTCN,43,Sanyo,682896,16,11,0.018373810065289337,15.244557900001382
49254,0.96436870098114,0.6429961323738098,0.6875723600387573,0.1591927807298346,48,predefined_daylight,same_H144_prediction,IndependentModernTCN,43,Sanyo,682896,16,11,0.018373810065289337,15.244557900001382
400992,0.8139668703079224,0.5165320634841919,0.8111276626586914,0.1343652581989105,96,regular_full_timeline,same_H144_prediction,IndependentModernTCN,43,Sanyo,682896,16,11,0.018373810065289337,15.244557900001382
136926,1.2301753759384155,0.93737131357193,0.4613046050071716,0.2030707121475067,96,predefined_daylight,same_H144_prediction,IndependentModernTCN,43,Sanyo,682896,16,11,0.018373810065289337,15.244557900001382
