section,model,seed,split,scope,horizon_steps,feature,metric,value,unit,count,source_path,notes
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_p1,-2.4718728184700014,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_p5,-0.14532774686813354,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_p50,0.21627631038427353,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_p95,5.276849794387818,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_p99,45.61065189361578,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_p99.9,242.10603242492644,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,prediction_p100,343.429443359375,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_min,0.0,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_max,6.020666122436523,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_mean,1.1262056051773612,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_sd,1.7765709520680446,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_p0,0.0,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_p0.1,0.0,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_p1,0.0,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_p5,0.0,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_p50,0.0,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_p95,5.138799667358398,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_p99,5.592766761779785,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_p99.9,5.917767524719238,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,label_p100,6.020666122436523,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_min,9.011031920636015e-07,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_max,339.4976427555084,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_mean,2.0684235122835606,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_sd,15.56763862907501,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_p0,9.011031920636015e-07,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_p0.1,0.00023437920080323239,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_p1,0.002475559706799686,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_p5,0.012412209762260318,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_p50,0.14423036575317383,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_p95,1.5251955389976504,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_p99,67.97219397068031,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_p99.9,237.44369647312152,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,absolute_error_p100,339.4976427555084,kW,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,squared_error_min,8.119869627472118e-13,kW^2,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,squared_error_max,115258.64943654682,kW^2,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
tail_distribution,HISTORY_ONLY,42,validation,,12,,squared_error_mean,246.62974831163595,kW^2,713088,C:\Users\Zhujiangkun-Yohkoh\Desktop\光伏项目_最新\PVforecast16_nwp_minimal_screen\GFNODE_experiments\asoc_nwp_minimal_screen\results\HISTORY_ONLY\seed_42\validation_H144.npz,
