section,task,scope,horizon,model,seed,n,positive_count,prevalence,auroc,auprc,brier,spearman_abs_change,f1_at_0_5,precision_at_0_5,recall_at_0_5,ece_10bin
simple_baseline,ramp_step,full_timeline,2,IRRADIANCE_CHANGE,,17401,3045,0.174989943106718,0.9090735306430293,0.6387237822175889,nan,0.9058494454137693,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,3,IRRADIANCE_CHANGE,,17401,3044,0.1749324751451066,0.9015891189168417,0.610001516656664,nan,0.9008548219656191,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,4,IRRADIANCE_CHANGE,,17401,3043,0.1748750071834952,0.8984210139873312,0.5967206772112135,nan,0.898362892530459,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,5,IRRADIANCE_CHANGE,,17401,3042,0.1748175392218838,0.891814078262406,0.5814463245723313,nan,0.8924797518214559,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,6,IRRADIANCE_CHANGE,,17401,3041,0.1747600712602724,0.8894850575102202,0.572519899091142,nan,0.8878291683433223,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,7,IRRADIANCE_CHANGE,,17401,3040,0.174702603298661,0.8852363537578016,0.5599563622988133,nan,0.8798509738961499,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,8,IRRADIANCE_CHANGE,,17401,3039,0.1746451353370496,0.8796901021071335,0.5440142966277676,nan,0.8711996539154196,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,9,IRRADIANCE_CHANGE,,17401,3038,0.17458766737543818,0.8747844323500186,0.5351008294424728,nan,0.863231095688032,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,10,IRRADIANCE_CHANGE,,17401,3037,0.1745301994138268,0.8718443017872857,0.5275914332758705,nan,0.8545658402088098,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,11,IRRADIANCE_CHANGE,,17401,3036,0.1744727314522154,0.8644686204345853,0.5129284089038728,nan,0.8448369507583491,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,12,IRRADIANCE_CHANGE,,17401,3035,0.174415263490604,0.8588141023068148,0.49562658774130647,nan,0.8343502490743407,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,all12,TIME_OF_DAY_LOGISTIC,,208812,36486,0.1747313372794667,0.8566033603129988,0.4297157266686014,0.15666170959605694,0.8232672772262668,nan,nan,nan,nan
simple_baseline,ramp_step,daylight,all12,TIME_OF_DAY_LOGISTIC,,107560,36486,0.3392153216809223,0.6534356696011362,0.4300394704688298,0.29436641722555673,0.15130486620843553,nan,nan,nan,nan
simple_baseline,ramp_step,sunrise_sunset_transition,all12,TIME_OF_DAY_LOGISTIC,,69636,10077,0.14470963294847491,0.8134862565648926,0.356040680969984,0.14833437256607862,0.7785887125706311,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,1,TIME_OF_DAY_LOGISTIC,,17401,3046,0.1750474110683294,0.8567307553768033,0.4307802442965243,0.15674930048057675,0.8232979261612547,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,2,TIME_OF_DAY_LOGISTIC,,17401,3045,0.174989943106718,0.8566989492158351,0.4305488004838491,0.1567368676814987,0.8232999660896445,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,3,TIME_OF_DAY_LOGISTIC,,17401,3044,0.1749324751451066,0.8566655640652748,0.430290681662992,0.15672405608066817,0.823296217763614,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,4,TIME_OF_DAY_LOGISTIC,,17401,3043,0.1748750071834952,0.8566305529184992,0.42998780658449937,0.1567109171934723,0.8232867211801249,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,5,TIME_OF_DAY_LOGISTIC,,17401,3042,0.1748175392218838,0.85659386871974,0.42958529877512014,0.15669746729954284,0.8232925021766039,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,6,TIME_OF_DAY_LOGISTIC,,17401,3041,0.1747600712602724,0.8565580062268771,0.4292397527648547,0.15668415494949892,0.8232726891788292,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,7,TIME_OF_DAY_LOGISTIC,,17401,3040,0.174702603298661,0.8565237219589605,0.42895964216788646,0.15667067335229853,0.8232439456344738,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,8,TIME_OF_DAY_LOGISTIC,,17401,3039,0.1746451353370496,0.8564910056834837,0.42871397675050343,0.15665616634913565,0.8232035302065567,nan,nan,nan,nan
simple_baseline,ramp_step,full_timeline,9,TIME_OF_DAY_LOGISTIC,,17401,3038,0.17458766737543818,0.856459778405279,0.42848939729927665,0.15664126611111004,0.8231943172088654,nan,nan,nan,nan
