dataset,site_id,model,seed,statistic,horizon_steps,horizon_minutes,scope,metric,value,unit,sample_count,valid_target_count,normalization_definition,prediction_artifact,label_artifact,timestamp_artifact,mask_artifact,config_path,source_commit,rank
Sanyo,17,Discrete Candidate,42,per_seed,96,480,regular_full_timeline,R2,0.7784991933832626,dimensionless,4177,400992,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,regular_full_timeline,Bias,-0.31812156459375424,source_power_unit,4177,400992,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,regular_full_timeline,range_nRMSE,0.14550919925293132,dimensionless,4177,400992,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,regular_full_timeline,RMSE_skill,0.588880254385368,dimensionless,4177,400992,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,regular_full_timeline,MAE_skill,0.6542632522333166,dimensionless,4177,400992,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,daylight,RMSE,1.5117913590134786,source_power_unit,2765,134235,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,daylight,MAE,1.0847988655847283,source_power_unit,2765,134235,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,daylight,R2,0.13173474573149857,dimensionless,2765,134235,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,daylight,Bias,-1.0155098968768363,source_power_unit,2765,134235,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
Sanyo,17,Discrete Candidate,42,per_seed,96,480,daylight,range_nRMSE,0.24955835883084934,dimensionless,2765,134235,train_target_range,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::labels,GFNODE_experiments/asoc_discrete_viability/artifacts/Discrete Candidate_Sanyo_42/test_H144.npz::target_start,derived_from_labels_and_train_only_threshold,GFNODE_experiments/asoc_discrete_viability/config.json,9f3548d99ecf434dfbe3c5b67c336d1e1118418f,
