section,model,seed,scope,horizon,n,positive_count,prevalence,event_type,rmse_kw,mae_kw,diff_mae_kw,backbone_parameters,power_head_parameters,event_head_parameters,total_parameters,actual_epochs,best_epoch,stop_reason,numerically_finite,training_seconds,mean_epoch_seconds,inference_ms_per_sample,threshold_kw,step_pos_weight,artifact_source,best_validation_objective,auroc,auprc,brier,f1,precision,recall,miss_rate,onset_time_mae_steps,onset_time_mae_minutes,onset_time_n,up_count,down_count,up_recall,down_recall,direction_accuracy,identification_rate,probability_bin,mean_predicted_probability,observed_event_rate
first_onset,STEP_MULTITASK,42,sunrise_sunset_transition,12,7134,2742,0.3843566021867115,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,0.9053181203408093,0.8039814232287168,0.2737284713373615,0.606358686105744,0.5848864791596069,0.6294675419401896,0.37053245805981033,2.7387022016222478,13.693511008111239,1726,1660,1082,0.6186746987951808,0.24861367837338263,0.7508690614136733,,,,
onset_lead,STEP_MULTITASK,42,full_timeline,1,930,930,0.05344520429860353,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,499,431,,,,0.9935483870967742,,,
onset_lead,STEP_MULTITASK,42,full_timeline,2,930,930,0.05344520429860353,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,499,431,,,,0.4924731182795699,,,
onset_lead,STEP_MULTITASK,42,full_timeline,3,771,771,0.044307798402390665,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,416,355,,,,0.4033722438391699,,,
onset_lead,STEP_MULTITASK,42,full_timeline,4,633,633,0.03637721970001724,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,348,285,,,,0.3744075829383886,,,
onset_lead,STEP_MULTITASK,42,full_timeline,5,511,511,0.02936612838342624,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,280,231,,,,0.37573385518590996,,,
onset_lead,STEP_MULTITASK,42,full_timeline,6,426,426,0.0244813516464571,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,238,188,,,,0.38497652582159625,,,
onset_lead,STEP_MULTITASK,42,full_timeline,7,345,345,0.019826446755933567,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,198,147,,,,0.4144927536231884,,,
onset_lead,STEP_MULTITASK,42,full_timeline,8,283,283,0.016263433136026666,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,167,116,,,,0.4452296819787986,,,
onset_lead,STEP_MULTITASK,42,full_timeline,9,242,242,0.013907246709959197,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,144,98,,,,0.4834710743801653,,,
onset_lead,STEP_MULTITASK,42,full_timeline,10,210,210,0.012068271938394345,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,125,85,,,,0.47619047619047616,,,
onset_lead,STEP_MULTITASK,42,full_timeline,11,182,182,0.010459169013275099,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,111,71,,,,0.4835164835164835,,,
onset_lead,STEP_MULTITASK,42,full_timeline,12,160,160,0.009194873857824262,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,100,60,,,,0.44375,,,
reliability,STEP_MULTITASK,42,full_timeline,12,7434,,,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,,,,,,,"[0.0,0.1)",0.004446782637387514,0.0
reliability,STEP_MULTITASK,42,full_timeline,12,244,,,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,,,,,,,"[0.1,0.2)",0.14355994760990143,0.0
reliability,STEP_MULTITASK,42,full_timeline,12,170,,,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,,,,,,,"[0.2,0.3)",0.2482333481311798,0.0
reliability,STEP_MULTITASK,42,full_timeline,12,126,,,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,,,,,,,"[0.3,0.4)",0.3559684455394745,0.0
reliability,STEP_MULTITASK,42,full_timeline,12,95,,,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,,,,,,,"[0.4,0.5)",0.4535418450832367,0.021052631578947368
reliability,STEP_MULTITASK,42,full_timeline,12,104,,,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,,,,,,,"[0.5,0.6)",0.5472162961959839,0.019230769230769232
reliability,STEP_MULTITASK,42,full_timeline,12,112,,,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,,,,,,,"[0.6,0.7)",0.6457589268684387,0.026785714285714284
reliability,STEP_MULTITASK,42,full_timeline,12,154,,,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,,,,,,,"[0.7,0.8)",0.754480242729187,0.09090909090909091
reliability,STEP_MULTITASK,42,full_timeline,12,249,,,,,,,19136,55308,55308,129752,10,5,early_stopping,True,55.38851059999979,5.523994940000193,0.0384415091086687,0.15069979429244995,8.999551200538559,,0.1797820584875518,,,,,,,,,,,,,,,,,"[0.8,0.9)",0.8566833138465881,0.15261044176706828
