site,category,key,value
NIST_GROUND,file,03/onemin-Ground-2017-03-06.csv,"{""file"": ""03/onemin-Ground-2017-03-06.csv"", ""size"": 858262, ""mtime_ns"": 1488729600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-07.csv,"{""file"": ""03/onemin-Ground-2017-03-07.csv"", ""size"": 850705, ""mtime_ns"": 1488816000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-08.csv,"{""file"": ""03/onemin-Ground-2017-03-08.csv"", ""size"": 850266, ""mtime_ns"": 1488902400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-09.csv,"{""file"": ""03/onemin-Ground-2017-03-09.csv"", ""size"": 850087, ""mtime_ns"": 1488988800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-10.csv,"{""file"": ""03/onemin-Ground-2017-03-10.csv"", ""size"": 857315, ""mtime_ns"": 1489075200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-11.csv,"{""file"": ""03/onemin-Ground-2017-03-11.csv"", ""size"": 868549, ""mtime_ns"": 1489161600000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-12.csv,"{""file"": ""03/onemin-Ground-2017-03-12.csv"", ""size"": 866781, ""mtime_ns"": 1489248000000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-13.csv,"{""file"": ""03/onemin-Ground-2017-03-13.csv"", ""size"": 859357, ""mtime_ns"": 1489334400000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-14.csv,"{""file"": ""03/onemin-Ground-2017-03-14.csv"", ""size"": 867561, ""mtime_ns"": 1489420800000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
NIST_GROUND,file,03/onemin-Ground-2017-03-15.csv,"{""file"": ""03/onemin-Ground-2017-03-15.csv"", ""size"": 870510, ""mtime_ns"": 1489507200000000000, ""rows"": 1440, ""header"": ""NIST_HEADER""}"
