site,model,horizon,scope,analysis,RMSE_mean,RMSE_sample_sd,MAE_mean,MAE_sample_sd,bias_mean,bias_sample_sd,R2_mean,R2_sample_sd,nRMSE_mean,nRMSE_sample_sd,last_value_skill_mean,last_value_skill_sample_sd,daily_skill_mean,daily_skill_sample_sd,seed_count,forecast_origin_count,valid_target_count
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,96,daylight,supplementary_daily_matched,21.42596541174541,0.2820738213289013,16.04337876315983,0.3134014812943002,-4.156284691623829,0.06719719909944002,0.5542674402407033,0.01177942066771191,0.19486486043378082,0.0025654048612973033,0.5504970691290297,0.005917726784894804,0.038589097900609826,0.012657018799898705,3,22393,1313250
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,144,full,primary,17.011681074716062,0.3885131439675101,10.727710836394841,0.38065845424889466,-1.4228506330808992,0.3233915002418828,0.7541949830522038,0.011187039931464136,0.15471782926296107,0.003533449164181711,0.6458890707671809,0.008087193136601577,,,3,26280,3784320
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,144,full,supplementary_daily_matched,17.011681074716062,0.3885131439675101,10.727710836394841,0.38065845424889466,-1.4228506330808992,0.3233915002418828,0.7541949830522038,0.011187039931464136,0.15471782926296107,0.003533449164181711,0.6458890707671809,0.008087193136601577,-0.058855597836244535,0.02418216727177995,3,26280,3784320
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,144,daylight,primary,22.151216808484808,0.36074436335862853,16.695045830710473,0.47714544940549297,-5.30848804612149,0.3657522367026747,0.5239382064217871,0.01545612023510808,0.2014608765053626,0.0032808976709920797,0.5764849985918632,0.006897167360001976,,,3,26192,1963842
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,144,daylight,supplementary_daily_matched,22.151216808484808,0.36074436335862853,16.695045830710473,0.47714544940549297,-5.30848804612149,0.3657522367026747,0.5239382064217871,0.01545612023510808,0.2014608765053626,0.0032808976709920797,0.5764849985918632,0.006897167360001976,0.0022421178123479546,0.016249018512516537,3,26192,1963842
YULARA_COMBINED,DEPTHWISE_TCN_TRAJECTORY,12,full,primary,10.561607211146171,0.9289092152020133,5.916460897931604,0.9015277998808996,1.1507707231431532,1.1530364157632322,0.9046958746320763,0.01709297037835336,0.09605570043663929,0.008448243105851619,0.15158032317980755,0.07461978469766099,,,3,26412,316944
YULARA_COMBINED,DEPTHWISE_TCN_TRAJECTORY,12,full,supplementary_daily_matched,10.561607211146171,0.9289092152020133,5.916460897931604,0.9015277998808996,1.1507707231431532,1.1530364157632322,0.9046958746320763,0.01709297037835336,0.09605570043663929,0.008448243105851619,0.15158032317980755,0.07461978469766099,0.3459269067783866,0.0575267108085633,3,26412,316944
YULARA_COMBINED,DEPTHWISE_TCN_TRAJECTORY,12,daylight,primary,14.034624759186764,0.912483633120139,8.941380572772712,0.9676469716825893,1.1034264594975307,1.585931452301491,0.8081564096859776,0.025339903838343315,0.12764209884517994,0.00829885572944087,0.18460086557548794,0.05301448221019689,,,3,14784,164664
YULARA_COMBINED,DEPTHWISE_TCN_TRAJECTORY,12,daylight,supplementary_daily_matched,14.034624759186764,0.912483633120139,8.941380572772712,0.9676469716825893,1.1034264594975307,1.585931452301491,0.8081564096859776,0.025339903838343315,0.12764209884517994,0.00829885572944087,0.18460086557548794,0.05301448221019689,0.3707048013114263,0.040914636412244375,3,14784,164664
YULARA_COMBINED,DEPTHWISE_TCN_TRAJECTORY,48,full,primary,15.382657408250388,1.2280509175555665,10.51569672588995,1.1501302554623871,-0.6080705854972345,0.557259763346946,0.7981572088549984,0.03279996091493156,0.13990218556575137,0.011168876923690873,0.415900472212567,0.04663069208434742,,,3,26376,1266048
YULARA_COMBINED,DEPTHWISE_TCN_TRAJECTORY,48,full,supplementary_daily_matched,15.382657408250388,1.2280509175555665,10.51569672588995,1.1501302554623871,-0.6080705854972345,0.557259763346946,0.7981572088549984,0.03279996091493156,0.13990218556575137,0.011168876923690873,0.415900472212567,0.04663069208434742,0.0477280971654375,0.07602317031458737,3,26376,1266048
YULARA_COMBINED,DEPTHWISE_TCN_TRAJECTORY,48,daylight,primary,19.095965755542718,1.564135553549636,14.277027892544593,1.4443152292594874,-3.8164068246817364,1.6081441432553056,0.644165925217482,0.059233496371614625,0.1736739806254993,0.014225499317518753,0.44394067701824375,0.045546382314078836,,,3,18063,658095
YULARA_COMBINED,DEPTHWISE_TCN_TRAJECTORY,48,daylight,supplementary_daily_matched,19.095965755542718,1.564135553549636,14.277027892544593,1.4443152292594874,-3.8164068246817364,1.6081441432553056,0.644165925217482,0.059233496371614625,0.1736739806254993,0.014225499317518753,0.44394067701824375,0.045546382314078836,0.14386799228347524,0.07012510018837698,3,18063,658095
YULARA_COMBINED,DEPTHWISE_TCN_TRAJECTORY,96,full,primary,18.434944696435547,1.4215526242149357,12.850586041516152,1.1961470504686804,-2.877028715296133,0.7489848103195551,0.7104452573836787,0.04546302724632612,0.16766212659925797,0.012928736156974506,0.545810356514,0.03502340203459408,,,3,26328,2527488
