site,model,seed,horizon,scope,analysis,forecast_origin_count,valid_target_count,RMSE,MAE,bias,R2,nRMSE,last_value_skill,daily_skill,parameter_count,best_epoch,best_validation_mse,training_seconds
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,96,full,primary,26328,2527488,17.143131425868784,11.034075208396676,-0.39477988073113524,0.7505927319827341,0.15591334385654412,0.5776373144176299,,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,96,full,supplementary_daily_matched,26328,2527488,17.143131425868784,11.034075208396676,-0.39477988073113524,0.7505927319827341,0.15591334385654412,0.5776373144176299,-0.0623602931392393,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,96,daylight,primary,22393,1313250,21.751676163913157,16.40473516433312,-4.093731489599669,0.5406657385348772,0.19782713443372657,0.5436638676885321,,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,96,daylight,supplementary_daily_matched,22393,1313250,21.751676163913157,16.40473516433312,-4.093731489599669,0.5406657385348772,0.19782713443372657,0.5436638676885321,0.02397403332604431,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,144,full,primary,26280,3784320,17.355870866331678,11.157270492410738,-1.735149733071612,0.7442367668059409,0.15784816642243127,0.638724501527601,,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,144,full,supplementary_daily_matched,26280,3784320,17.355870866331678,11.157270492410738,-1.735149733071612,0.7442367668059409,0.15784816642243127,0.638724501527601,-0.08027895311604438,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,144,daylight,primary,26192,1963842,22.45381238688964,17.219191059777692,-5.715261696738771,0.5109294071029638,0.2042129226335344,0.5706995933059047,,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,42,144,daylight,supplementary_daily_matched,26192,1963842,22.45381238688964,17.219191059777692,-5.715261696738771,0.5109294071029638,0.2042129226335344,0.5706995933059047,-0.011387703342799815,140432.0,7.0,0.03149617056309812,96.3203195999995
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,12,full,primary,26412,316944,12.575182375752947,7.975313553934002,2.088543165586667,0.8655854232397358,0.11436876292337943,-0.01017126976013194,,140432.0,12.0,0.027561055259709335,138.18017970000074
YULARA_COMBINED,JOINT_PATCH_TRAJECTORY,43,12,full,supplementary_daily_matched,26412,316944,12.575182375752947,7.975313553934002,2.088543165586667,0.8655854232397358,0.11436876292337943,-0.01017126976013194,0.2212275774037198,140432.0,12.0,0.027561055259709335,138.18017970000074
