block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
64,3456.0,15827.224060504253,1824911.4703836488,169752.3571633987,24911.2701989396,31397.555560482393,31727.030081029545,616.212886563152,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
65,3456.0,194584.61235290527,1623310.7978956804,294668.0470823187,205272.62168702245,216058.22992353642,199546.88000253157,267389.7770391274,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
66,3432.0,294214.61256717256,1139831.4204298356,381160.5577062441,303800.4021385112,370632.856224561,369227.6299358406,696934.2686029038,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
67,3444.0,386635.6198093861,1528737.6217155831,523230.91402737505,341982.9757748612,348930.6574330729,350980.78221772704,849113.3559816959,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
68,3456.0,317785.53873949975,1103112.574065992,434773.94522540254,344456.1893038026,445516.1048952932,411511.56251832965,611113.1733234159,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
69,3456.0,188436.9747792169,912323.914132624,282415.9576070181,269547.6495121316,393020.16047458764,381012.599979522,480880.6321324466,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
70,3456.0,298389.8773579453,1377392.267814916,445469.00709770806,337979.41347331635,431298.082591861,398037.4891730212,545513.1945305016,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
71,3456.0,268641.1649766319,1307279.3178001815,350050.3743783741,304097.32329511404,357816.71894992975,323458.69423761044,509486.2264376843,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
72,3456.0,49093.44505488552,1706260.752780182,286808.5488111336,15574.40443924776,20052.15423423533,13991.73938593629,512401.31904049113,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
73,3456.0,57089.256836956345,1756275.8845748194,167869.37325792722,24933.39364541527,39879.65553601407,44094.58489897957,776.2234690913294,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
74,3456.0,12535.24523350244,1687982.26093553,153314.91668848388,15115.179813863377,22137.163536746895,24234.535383485843,1275.6715643424732,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
75,3456.0,13881.679357640227,1714265.090917499,161535.05808401038,18584.49892888975,29263.404140974086,38785.38620679319,745.1895241804908,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
76,3456.0,95044.57351668928,1622124.905646841,215618.88392318337,97973.9509433734,103059.44630949861,104450.45099616962,89084.74170702406,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
77,3456.0,19333.66025102775,1796894.012693036,200574.37088368225,15957.709410901716,15627.054627330408,13991.94702932238,94016.56880909926,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
78,3456.0,16205.767810116256,1880164.583625392,193577.93508571974,21890.32991441595,21554.26093876723,33360.19074738246,3475.4489389943765,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
79,3456.0,383070.56542003166,1485307.751911223,403153.5946556291,375235.37854346,397702.72034003027,398858.4832037828,465872.09963216796,YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,12,full,24
