site,horizon,scope,method,RMSE,MAE,bias,points,origins
YULARA_COMBINED,144,full,Original B,8.01880756793744,3.91397138937426,0.5310246084158169,3772226,26204
YULARA_COMBINED,144,full,Expanded A,25.720772145038996,22.82553526617015,3.338387596849716,3772226,26204
YULARA_COMBINED,144,full,Expanded B,10.835058710855092,8.208182462859426,1.6099001350884057,3772226,26204
YULARA_COMBINED,144,full,Daily,9.559703285319635,3.2915052155284568,0.0399555429652695,3772226,26204
YULARA_COMBINED,144,full,Last-value,40.93711738680667,28.5945747262834,0.0049582155520744,3772226,26204
YULARA_COMBINED,144,low-power,Inverted mean,9.085076150277567,4.522539641937442,3.3454095961037393,2125723,26204
YULARA_COMBINED,144,low-power,Original A,14.66764035749794,10.43502347419082,7.107569727165166,2125723,26204
YULARA_COMBINED,144,low-power,Original B,2.188794170267035,1.4409216303699266,0.5637689277459199,2125723,26204
YULARA_COMBINED,144,low-power,Expanded A,20.6659852583879,19.85187005402412,19.85187005402412,2125723,26204
YULARA_COMBINED,144,low-power,Expanded B,6.695042591598208,5.07665238600759,4.668049262157378,2125723,26204
YULARA_COMBINED,144,low-power,Daily,0.6729136913368486,0.0176387671705113,0.012766364581997,2125723,26204
YULARA_COMBINED,144,low-power,Last-value,35.62229100643723,20.599292595066288,20.581124964689323,2125723,26204
YULARA_COMBINED,144,power-active,Inverted mean,18.256398770694812,12.97758790280102,3.72104552124174,1646503,24450
YULARA_COMBINED,144,power-active,Original A,21.174213890276512,16.95657650294519,-2.3422401006651623,1646503,24450
YULARA_COMBINED,144,power-active,Original B,11.879917475611617,7.10681024412275,0.4887499495057845,1646503,24450
YULARA_COMBINED,144,power-active,Expanded A,31.05282671372033,26.664695313712595,-17.981397104005453,1646503,24450
YULARA_COMBINED,144,power-active,Expanded B,14.529162334588172,12.251154452315689,-2.3383331428591254,1646503,24450
YULARA_COMBINED,144,power-active,Daily,14.449567423877465,7.518241035750344,0.0750582192679698,1646503,24450
YULARA_COMBINED,144,power-active,Last-value,46.91670371974167,38.91690946713552,-26.559968122557404,1646503,24450
NIST_GROUND,12,full,Inverted mean,23.848327015190062,13.881201506378952,-1.8752779715918055,292202,25319
NIST_GROUND,12,full,Original A,24.61232075473981,14.133683667898913,0.317495031839725,292202,25319
NIST_GROUND,12,full,Original B,23.93583159310501,13.179263655824323,0.6870629122284536,292202,25319
NIST_GROUND,12,full,Expanded A,24.61239744789231,14.133754800880942,0.3174540296641977,292202,25319
NIST_GROUND,12,full,Expanded B,23.93583159310501,13.179263655824323,0.6870629122284536,292202,25319
NIST_GROUND,12,full,Daily,51.21344169816518,25.3473261928392,0.163725537128425,292202,25319
NIST_GROUND,12,full,Last-value,26.926907015605277,12.988242536327608,0.0010405253899699,292202,25319
NIST_GROUND,12,low-power,Inverted mean,9.044889898737281,5.743911493756561,-1.2138294696561756,145726,13861
NIST_GROUND,12,low-power,Original A,10.447248523979214,6.5960828209837015,3.814162431122243,145726,13861
NIST_GROUND,12,low-power,Original B,9.956492058634955,4.95686388396333,2.0813555667753647,145726,13861
NIST_GROUND,12,low-power,Expanded A,10.447326998694228,6.596124883772526,3.8140865852410935,145726,13861
NIST_GROUND,12,low-power,Expanded B,9.956492058634955,4.95686388396333,2.0813555667753647,145726,13861
NIST_GROUND,12,low-power,Daily,7.499066193309519,1.145708005434857,1.086622175864293,145726,13861
NIST_GROUND,12,low-power,Last-value,4.118372944494181,0.7025662791814776,0.6114756872486722,145726,13861
NIST_GROUND,12,power-active,Inverted mean,32.451720772674896,21.976826211992236,-2.533339663562309,146476,13616
NIST_GROUND,12,power-active,Original A,33.16390835754711,21.63268979188896,-3.1612684067293526,146476,13616
