site,period,support,scope,horizon,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,24,Expanded B,Daily,13.413400272794442,14.451790894249653,-1.0383906214552105,-2.305849280904475,0.27167668121917965,0.07185203751241553,-0.022361677158785377,0.136943126170335,91,91,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,24,Expanded B,Inverted mean,13.413400272794442,12.685766698281848,0.7276335745125936,-0.06976354780023858,1.727165429302974,-0.058632540680994515,-0.1389806256503221,0.004224446869535922,91,91,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,48,Inverted mean,Daily,12.685766698281848,14.451790894249653,-1.7660241959678047,-3.985359771203194,0.4281646891261501,0.12220106206148491,-0.036542455460771416,0.2356106762838306,46,46,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,48,Original B,Daily,10.660540950782112,14.451790894249653,-3.791249943467541,-4.834541927992411,-2.7062687678719923,0.2623377248681389,0.22632357154871607,0.2860705598709905,46,46,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,48,Expanded B,Daily,13.413400272794442,14.451790894249653,-1.0383906214552105,-2.4456185754294877,0.5389233317886585,0.07185203751241553,-0.04712879017540622,0.14188023419886062,46,46,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,48,Expanded B,Inverted mean,13.413400272794442,12.685766698281848,0.7276335745125943,-0.15764685389869515,1.7694809812673795,-0.058632540680994584,-0.14444882046209262,0.011013968411813083,46,46,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,72,Inverted mean,Daily,12.685766698281848,14.451790894249653,-1.7660241959678042,-4.039578659197003,0.44064443210860127,0.12220106206148489,-0.03719725715164189,0.23366460132290484,31,31,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,72,Original B,Daily,10.660540950782112,14.451790894249653,-3.791249943467541,-4.9010355570741035,-2.7015714024279696,0.2623377248681389,0.23026769818913495,0.2858349624792946,31,31,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,72,Expanded B,Daily,13.413400272794442,14.451790894249653,-1.0383906214552105,-2.548589558855387,0.6535730594447291,0.07185203751241553,-0.057186455737599076,0.14559944308597636,31,31,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,48,72,Expanded B,Inverted mean,13.413400272794442,12.685766698281848,0.7276335745125936,-0.20436002405772422,1.700981785005999,-0.058632540680994584,-0.13699930640203903,0.014465614027535056,31,31,548904,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,24,Inverted mean,Daily,17.417373331055284,14.451686234415792,2.9656870966394897,0.9272865257048476,4.744457871725729,-0.20521391403979483,-0.3812740800718132,-0.05543613305570683,91,91,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,24,Original B,Daily,11.566148710639961,14.451686234415792,-2.885537523775831,-3.5040762170564492,-2.2417628279312143,0.19966787798811347,0.17471387818689896,0.2245430179647821,91,91,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,24,Expanded B,Daily,14.1673583502908,14.451686234415792,-0.284327884124993,-1.4096599213597147,0.906622880245801,0.019674374291899888,-0.07423600430234645,0.08329099281214568,91,91,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,24,Expanded B,Inverted mean,14.1673583502908,17.417373331055284,-3.2500149807644827,-4.211207119164043,-1.9686040882404647,0.18647911509578577,0.11461215796634695,0.24098003022702588,91,91,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,48,Inverted mean,Daily,17.417373331055284,14.451686234415789,2.9656870966394933,0.8226545147223936,5.137974166531419,-0.2052139140397952,-0.43773337156376246,-0.04840046069678886,46,46,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,48,Original B,Daily,11.566148710639961,14.451686234415789,-2.8855375237758274,-3.5396000811261445,-2.1585876243188133,0.19966787798811325,0.17633463794218837,0.22305123775588587,46,46,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,48,Expanded B,Daily,14.167358350290796,14.451686234415789,-0.284327884124993,-1.537791013604249,1.1610983666272217,0.019674374291899888,-0.0995520462398178,0.08878606546694406,46,46,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,48,Expanded B,Inverted mean,14.167358350290796,17.417373331055284,-3.2500149807644862,-4.3421838762900675,-2.022097323086186,0.18647911509578596,0.11552526379494711,0.2469407104356958,46,46,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,72,Inverted mean,Daily,17.417373331055284,14.451686234415789,2.9656870966394955,0.829232645505245,5.133052190734666,-0.20521391403979536,-0.4455304235209364,-0.0489758394378697,31,31,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,72,Original B,Daily,11.566148710639961,14.451686234415789,-2.8855375237758274,-3.547193001772397,-2.1769829890267354,0.19966787798811325,0.17899563838797655,0.21876851459473892,31,31,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,72,Expanded B,Daily,14.167358350290801,14.451686234415789,-0.28432788412498766,-1.6182680970081287,1.2773791878736969,0.019674374291899444,-0.11163973605925506,0.09272882773802665,31,31,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,96,72,Expanded B,Inverted mean,14.167358350290801,17.417373331055284,-3.250014980764483,-4.298270487423884,-2.085641598055026,0.18647911509578574,0.12092200618383392,0.24663944473195598,31,31,1097863,2000,2000,0,2000
YULARA_COMBINED,2018_Apr_Jun_origins,fixed_period,power-active,144,24,Inverted mean,Daily,18.256398770694812,14.44956742387746,3.806831346817354,1.8763630984397015,5.454058054050072,-0.2634564229602254,-0.44000405421231564,-0.11459067124624797,91,91,1646503,2000,2000,0,2000
