block,count,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,site,period,support,horizon,scope,block_hours
37,14673.0,23869257.837047443,68056049.1000645,23869257.837047443,21583141.854815014,26353060.328342505,22779478.991631668,38559719.392205805,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
38,14514.0,22307185.575839978,66358338.60024586,22307185.575839978,30275129.839675277,34299800.70306857,32446169.492188737,24815120.34180482,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
39,12709.0,32922153.85755264,78214575.39589661,32922153.85755264,72438198.81500201,73375871.30347753,80931376.74275708,72984320.1910169,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
40,14722.0,52829395.82615079,62419621.27934591,52829395.82615079,19903598.460147996,26345316.18707177,20305939.583176896,87543453.68964276,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
41,14603.0,10802250.728719579,64754974.517231755,10802250.728719579,40206896.95621508,44672670.543434374,37117476.57206667,14812750.785517214,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
42,13334.0,69316656.1204105,23412789.69910666,69316656.1204105,34061758.856650434,27538915.144738566,38762335.353478506,169066347.02871227,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
43,12950.0,79418275.09400952,59825607.8359639,79418275.09400952,46800831.3537264,50204792.25441166,40683133.88553991,143455055.76673016,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
44,14347.0,21159256.700001977,59311343.78182321,21159256.700001977,31035062.72462711,37435168.61234553,29492684.761973377,29100930.383932885,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
45,12985.0,55254870.44262384,17975453.688171327,55254870.44262384,21456022.821265355,15422732.160666462,23357680.912547246,152148034.64901307,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
46,14133.0,3883890.4884286523,11841038.462893758,3883890.4884286523,14456048.214973848,10193485.602010656,17684311.83348882,6982089.563025408,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
47,12730.0,4073330.151006413,12058251.755489798,4073330.151006413,14037094.207026834,9873717.54771427,18367209.324303396,4192289.1024752036,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
48,13829.0,2514342.2803650093,11217103.294944767,2514342.2803650093,7835708.913275566,5364705.80531649,8322489.952147642,2733480.7825940396,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
51,12214.0,22496228.453265585,31858375.124760892,22496228.453265585,25012252.046597693,22145244.904872146,23695127.69471816,43714990.52540973,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
52,15005.0,65871086.3256415,56096208.02581533,65871086.3256415,43110744.04178644,48731382.1843143,43481151.01191584,122657347.76275359,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
53,14947.0,31301620.163187403,68032119.45236468,31301620.163187403,14297330.452367937,18268908.176334534,14217124.872137897,49125378.42376471,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
54,15162.0,4881600.36575903,54837206.15246038,4881600.36575903,11989544.794168886,15662452.50571091,11839461.692949275,1179846.8330590813,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
55,15218.0,27839345.558898427,63124475.50353428,27839345.558898427,25935698.008612465,29202828.842914045,27225079.202063747,40720999.113151886,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
56,14277.0,19873447.225461155,54432472.99047273,19873447.225461155,28949249.003055863,33649503.13466348,28742474.518845994,28640971.334392402,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
57,14508.0,41000470.1881377,21618671.81851073,41000470.1881377,22866016.25208786,19456659.038946755,19751312.33210976,100913555.88527505,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
58,15082.0,21729280.546463847,27434382.68148288,21729280.546463847,15561307.800688284,16887947.960461408,12750675.020156894,31370962.58531817,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
59,13211.0,28663151.89288385,17591154.251450464,28663151.89288385,38268598.491028085,33306555.731867902,43556805.4346997,53953843.167634845,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
60,12331.0,31273244.78352479,28729477.441294312,31273244.78352479,30580854.92138181,28356942.235243123,25801209.218708366,45500133.7843112,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
61,15284.0,43563257.13711588,53242317.65830678,43563257.13711588,32639313.604614556,37115852.59014411,30820513.662391357,82196700.20773283,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
62,12899.0,38606306.49879241,42089543.90123776,38606306.49879241,34942247.808814965,31815647.050808206,33833910.90131651,74939837.11102742,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
63,13894.0,30572691.9626035,18180011.666792784,30572691.9626035,24192959.673298836,18330525.957741298,29450828.233524498,65129608.1815881,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
64,15045.0,85004402.15503749,62671662.36336338,85004402.15503749,47542891.32935862,52187551.74412609,44092627.21395598,154787840.8917684,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
65,15291.0,42440107.41143441,55105238.05176573,42440107.41143441,32611807.10255494,33550976.089302357,34219493.73297057,79452096.20130597,NIST_GROUND,2018_Apr_Jun_origins,fixed_period,96,power-active,24
