site,scope,horizon,support,block_hours,method,reference,rmse,reference_rmse,effect_kW,ci_low_kW,ci_high_kW,skill,skill_ci_low,skill_ci_high,blocks,nonempty_blocks,points,replicates,valid_replicates,zero_support_replicates,valid_skill_replicates
Qcells,low-power,144,complete_H144_Daily_intersection,72,Expanded B,Inverted44,0.07908133392503842,0.33831319642644925,-0.25923186250141084,-0.3176346886346245,-0.1991448793263047,0.7662481547856764,0.7235480559645666,0.7933198470601305,8,8,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,72,Expanded B,Inverted mean,0.07908133392503842,0.3285660064933043,-0.2494846725682659,-0.29211995362681625,-0.20380346763631138,0.7586278131376772,0.7250630444481873,0.7805433720078772,8,8,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,72,Expanded A,Original A,0.43958566450470027,0.43958566450470027,0.0,0.0,0.0,0.0,0.0,0.0,8,8,243200,2000,2000,0,2000
Qcells,low-power,144,complete_H144_Daily_intersection,72,Expanded B,Original B,0.07908133392503842,0.0634014068147893,0.015679927110249126,0.009947332289754975,0.022068657809824508,-0.24731197457580012,-0.4060134079264054,-0.1365512808930377,8,8,243200,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,24,Expanded B,Expanded A,15.842109710882916,29.83822907037078,-13.996119359487864,-15.49176884360538,-12.53766716616847,0.4690666904687699,0.4248908978474659,0.5124053193737148,92,92,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,24,Expanded B,Daily,15.842109710882916,16.06610109015731,-0.22399137927439483,-1.4374499950923114,1.2570642274275663,0.01394186293347921,-0.08231290109944339,0.0852526981456418,92,92,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,24,Expanded B,Inverted42,15.842109710882916,15.983046939187156,-0.1409372283042405,-1.0838021111272518,0.8630326931070599,0.008817919939826502,-0.0552460565286986,0.06741453019374379,92,92,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,24,Expanded B,Inverted43,15.842109710882916,15.73533013887975,0.10677957200316612,-0.838921057473286,1.1352692544918457,-0.006785975957334989,-0.0725019724826796,0.05395330841785358,92,92,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,24,Expanded B,Inverted44,15.842109710882916,15.696934506436643,0.1451752044462733,-0.7506978976270874,1.136006571801797,-0.009248634144886303,-0.07237730636893752,0.048544342946766544,92,92,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,24,Expanded B,Inverted mean,15.842109710882916,15.805103861501182,0.03700584938173298,-0.8900705718392671,1.0514918261710238,-0.00240556338746493,-0.06633358083297979,0.05630241128183741,92,92,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,24,Expanded A,Original A,29.83822907037078,119.58475077247294,-89.74652170210217,-133.5585023367681,-37.66106296632043,0.7504846656649202,0.5587096118304609,0.8159467456565191,92,92,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,24,Expanded B,Original B,15.842109710882916,35.950323856735274,-20.108214145852358,-30.935537235017538,-7.728586128403214,0.5593333241164973,0.3402060227313107,0.6493347487193172,92,92,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,48,Expanded B,Expanded A,15.842109710882918,29.838229070370783,-13.996119359487865,-15.886427228952721,-12.145743897562294,0.4690666904687699,0.4114189916455506,0.5235943905241692,46,46,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,48,Expanded B,Daily,15.842109710882918,16.06610109015731,-0.22399137927439305,-1.813561957206458,1.7410286785528983,0.013941862933479099,-0.11890577626868418,0.10530948119345018,46,46,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,48,Expanded B,Inverted42,15.842109710882918,15.983046939187156,-0.14093722830423872,-1.3624589919697325,1.1839550968447066,0.00881791993982639,-0.07455487096202355,0.08581320693050558,46,46,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,48,Expanded B,Inverted43,15.842109710882918,15.73533013887975,0.1067795720031679,-1.1496257239522485,1.4519375862620103,-0.006785975957334989,-0.09167219698708526,0.07331861190609877,46,46,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,48,Expanded B,Inverted44,15.842109710882918,15.696934506436643,0.14517520444627507,-1.044620649292123,1.3725957808730862,-0.009248634144886303,-0.08710098706019083,0.06651348315645798,46,46,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,48,Expanded B,Inverted mean,15.842109710882918,15.805103861501182,0.037005849381734755,-1.1749768612484452,1.3360543738463084,-0.002405563387464967,-0.08295195277541596,0.07487226149156241,46,46,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,48,Expanded A,Original A,29.838229070370783,119.58475077247293,-89.74652170210214,-146.04301180255007,7.037058999807765,0.7504846656649201,-0.31672645205444233,0.8299461092505959,46,46,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,48,Expanded B,Original B,15.842109710882918,35.95032385673527,-20.10821414585235,-34.21271088081322,1.0508337496726028,0.5593333241164973,-0.07544659214155966,0.6681078724988189,46,46,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,72,Expanded B,Expanded A,15.842109710882918,29.838229070370783,-13.996119359487865,-16.152599883085365,-11.930577344276355,0.4690666904687699,0.40448754943019366,0.5311454602958701,31,31,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,72,Expanded B,Daily,15.842109710882918,16.066101090157307,-0.2239913792743895,-1.98849278419065,2.108307775154913,0.013941862933478877,-0.14258588976869216,0.11540930673846103,31,31,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,72,Expanded B,Inverted42,15.842109710882918,15.983046939187153,-0.14093722830423516,-1.3874178893438582,1.424588291819191,0.008817919939826169,-0.08837954189712338,0.08646042296624906,31,31,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,72,Expanded B,Inverted43,15.842109710882918,15.73533013887975,0.1067795720031679,-1.1753144580950523,1.7119026603014043,-0.006785975957334989,-0.10815136480706508,0.07573858169073641,31,31,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,72,Expanded B,Inverted44,15.842109710882918,15.696934506436643,0.14517520444627507,-1.0080599502505865,1.5803116079728674,-0.009248634144886303,-0.0992297279166612,0.06520564512382968,31,31,3784320,2000,2000,0,2000
YULARA_COMBINED,full,144,complete_H144_Daily_intersection,72,Expanded B,Inverted mean,15.842109710882918,15.80510386150118,0.037005849381735935,-1.159069765877249,1.590752780658038,-0.002405563387465041,-0.09919262664123299,0.07495845973319673,31,31,3784320,2000,2000,0,2000
