block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
14,11067.0,6348.538001585708,307.8721620405125,6348.538001585708,307.8721620405125,0.03765481723975927,156009.2807612014,5373.1417528631055,1171.2661213434094,1024.3255562027591,670.5549824311813,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
16,11056.0,4376.200500324184,222.49842931456988,4376.200500324184,222.49842931456988,0.061136529282156356,160555.77876078457,1836.035259429353,1727.5807618223732,1209.1125544513059,1108.6856713080276,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
18,10774.0,4271.844818817345,332.62447144685075,4271.844818817345,332.62447144685075,0.01842068744150866,156620.7994078157,715.6176688291843,582.946550794566,613.3593053189251,601.4008562719957,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
19,10774.0,3081.703415372715,181.7180526272319,3081.703415372715,181.7180526272319,0.005660211096532133,150061.06362154876,888.7864610034053,890.7372120654578,745.1435010557252,760.6942757727621,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
20,10774.0,5008.158612946574,160.9019874402146,5008.158612946574,160.9019874402146,0.011604595989839931,150141.03164254257,2326.4585787297137,2101.1476765393586,1673.39944120093,1182.5308026976184,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
21,10903.0,8133.616174056913,217.1572249735945,8133.616174056913,217.1572249735945,0.003803532076716353,148661.14232252858,2717.702363085663,2676.271508776356,1698.319561247597,1459.0706843946095,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
22,10764.0,12870.544011175178,857.248529088793,12870.544011175178,857.248529088793,0.00529437961679462,117363.94702934386,9602.696317061112,3234.831775591156,1965.176003640437,2071.565494222662,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
23,10031.0,8260.690630923145,956.4420166598608,8260.690630923145,956.4420166598608,0.3409934158811956,134425.19699068018,3872.273749296126,2857.606072552023,2449.3864743077274,1934.20774809202,Sanyo,Alice2018Test,S1_new_origins,144,low-power,24
