site,period,support,horizon,scope,method,status,RMSE,MAE,bias,SSE,points
Sanyo,Alice2018Test,S1,12,low-power,Depthwise convolutional TCN43,diagnostic,0.09315252616347508,0.06570259269020741,0.018791507521556537,388.0964077677358,44725
Sanyo,Alice2018Test,S1,12,low-power,Depthwise convolutional TCN44,diagnostic,0.18351114058598708,0.15339255761241674,0.14804152193635756,1506.1742492148744,44725
Sanyo,Alice2018Test,S1,12,low-power,Discrete recurrent decoder42,diagnostic,0.0709861778705731,0.05916261052366457,0.05256594431085201,225.37094989188392,44725
Sanyo,Alice2018Test,S1,12,low-power,Discrete recurrent decoder43,diagnostic,0.05857040679506674,0.04163482673729224,0.01205576258956725,153.4287793944436,44725
Sanyo,Alice2018Test,S1,12,low-power,Discrete recurrent decoder44,diagnostic,0.0680567891694591,0.05446185969946801,0.020874336837701662,207.15397004071383,44725
Sanyo,Alice2018Test,S1,12,low-power,Inverted42,accepted,0.2182450625549831,0.1765413647572018,0.17078496847179483,2130.292330317634,44725
Sanyo,Alice2018Test,S1,12,low-power,Inverted43,diagnostic,0.23339460871684825,0.1745387554573725,0.13211841251810316,2436.3068650851064,44725
Sanyo,Alice2018Test,S1,12,low-power,Inverted44,diagnostic,0.13322362784605782,0.09083862015114434,0.024152613158420336,793.8032286113931,44725
Sanyo,Alice2018Test,S1,12,low-power,Joint-patch Transformer42,accepted,0.20912550533691354,0.14761494084955049,0.03676413606881407,1955.9797580387099,44725
Sanyo,Alice2018Test,S1,12,low-power,Joint-patch Transformer43,accepted,0.16843013764254744,0.11375263303697293,0.061505568468716854,1268.7906113847073,44725
Sanyo,Alice2018Test,S1,12,low-power,Joint-patch Transformer44,accepted,0.16494895112026148,0.12609991954243788,0.047917907109996286,1216.8847983745381,44725
Sanyo,Alice2018Test,S2,12,full,Original A,accepted,0.2100903855235234,0.11951864077594204,0.007138881481106227,3594.6845600227625,81442
Sanyo,Alice2018Test,S2,12,full,Original B,accepted,0.13860058665691807,0.08198871805931085,0.011887597591465435,1564.510806551756,81442
Sanyo,Alice2018Test,S2,12,full,Expanded A,accepted,0.2100903855235234,0.11951864077594204,0.007138881481106227,3594.6845600227625,81442
Sanyo,Alice2018Test,S2,12,full,Expanded B,accepted,0.13860058665691807,0.08198871805931085,0.011887597591465435,1564.510806551756,81442
Sanyo,Alice2018Test,S2,12,full,Daily,accepted,0.17276511153891386,0.0430499866305767,-0.004359564171268091,2430.8632053934743,81442
Sanyo,Alice2018Test,S2,12,full,Last-value,accepted,0.46464443678758527,0.24591442295727273,-0.0014500687485841579,17582.876011715678,81442
