block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
79,41472.0,16111799.5920635,5288689.405511663,22101382.323875807,5525305.603366922,10833442.021915372,10691626.593898967,10480578.893387156,5601507.597391453,49822076.79306593,YULARA_COMBINED,2018,complete_H144,144,full,24
80,41472.0,12966733.483142179,1733946.9822468357,25178209.283792492,4794263.706909431,8608662.083672572,9475995.498522995,9198621.676101182,5219088.696928625,60059729.956791654,YULARA_COMBINED,2018,complete_H144,144,full,24
81,41472.0,9504640.652642429,515985.6946973994,25679464.374934066,3214611.348907927,5097496.299232045,5037024.617528252,5829331.772321966,900332.4542014778,64774125.620068386,YULARA_COMBINED,2018,complete_H144,144,full,24
82,41472.0,12056523.936225103,1657427.956235083,26792279.001999114,4095165.632313746,8633296.05599139,8040817.832226104,7731069.8651124025,1421541.265233079,64955633.97801157,YULARA_COMBINED,2018,complete_H144,144,full,24
83,41472.0,12289752.264113827,445847.17887308885,25944146.445125334,3073771.0907152644,8551537.862364557,8184511.799051747,8036391.745876924,1342746.478296229,65208675.88549492,YULARA_COMBINED,2018,complete_H144,144,full,24
84,41472.0,10239867.188373609,184684.1222868415,26210435.757590543,2891047.2224213276,7707650.631760014,7849267.45620472,7880167.614415793,103112.80029068788,66630790.97959334,YULARA_COMBINED,2018,complete_H144,144,full,24
85,41472.0,8664953.657181518,182254.4745869095,25655991.561240997,2719406.7955368645,6768223.765732672,6488143.035044209,6328783.226749978,13060.332058141854,64867181.822763406,YULARA_COMBINED,2018,complete_H144,144,full,24
86,41472.0,10534143.352042368,216888.40181174938,26699058.480954155,3033504.2952873386,8520489.923796862,8144136.659311402,7711838.7951657325,23533.79923465912,67357116.9769941,YULARA_COMBINED,2018,complete_H144,144,full,24
87,41472.0,9182214.51720964,399118.0726226489,25283029.008650742,2848064.332435789,6287124.434989084,5737934.1966603,5858248.514417873,240098.25314761396,62554427.801188655,YULARA_COMBINED,2018,complete_H144,144,full,24
88,41472.0,11855631.327309342,257273.30608325393,24714404.081553183,2705237.9562380477,5444124.769865432,5194767.42612068,5890777.293594514,202830.73276721602,63912871.126656726,YULARA_COMBINED,2018,complete_H144,144,full,24
89,41472.0,12191938.431123022,199979.1675415715,24438714.90545674,2775175.3271718756,5591113.624405545,5394546.8370373985,5371269.689844989,17934.40994648984,63341863.01968107,YULARA_COMBINED,2018,complete_H144,144,full,24
90,41472.0,9287662.680973459,250597.23897458584,26139437.11998967,3034956.2828451563,6328757.908581257,5847957.579030611,5675336.234625127,66552.06798477774,66155775.20843854,YULARA_COMBINED,2018,complete_H144,144,full,24
0,82944.0,21866476.25869279,1830131.409521739,68844951.2850955,8324574.290592357,11484346.701453729,10003143.601118693,11656396.554822236,4340859.154433615,186309621.84943002,YULARA_COMBINED,2018,complete_H144,144,full,48
1,82944.0,24152304.349556286,877394.2853291187,72038039.04121949,6726704.088223579,10743417.670429707,8946381.304922223,10139838.236151818,722619.1059467046,193581970.75293782,YULARA_COMBINED,2018,complete_H144,144,full,48
2,82944.0,32123018.820505407,2857917.4754179753,69000278.05773829,7949922.24545403,14684835.051913846,13223456.552942043,14363733.33301852,4175751.316270102,186716111.40057048,YULARA_COMBINED,2018,complete_H144,144,full,48
3,82944.0,22969156.39355645,430345.7427260706,65104864.609001756,5399555.5602843445,14109406.465258071,14108282.17479278,15752921.116704306,380149.212610629,179817023.27627957,YULARA_COMBINED,2018,complete_H144,144,full,48
