block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Daily_SSE,Last-value_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Joint-patch Transformer42_SSE,Joint-patch Transformer43_SSE,Joint-patch Transformer44_SSE,site,period,support,horizon,scope,block_hours
2,72.0,22.284028593022004,4.812171097544515,22.284028593022004,21.55345499957836,0.5500814646672404,21.08694216810621,8.987842179295985,12.04598924133628,9.98721282718897,73.62592191859397,67.68899225606091,56.63501148702824,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
3,81.0,19.055751269685654,4.587092022512336,19.055751269685654,19.51634125205672,0.0487300205542009,23.171545879216325,8.854323123213216,14.34995502233931,9.25952610061058,72.39763659350038,63.97018843918611,56.09604263030932,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
4,90.0,21.34763840128016,4.942409708172828,21.34763840128016,22.084147032025136,0.12928762883205486,24.806292526533156,9.623253026506683,16.759149672669842,8.734984955941568,78.65709878089497,70.34455031863196,61.29340034878181,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
5,110.0,26.06663273649537,4.280835397252969,26.06663273649537,25.454965446389696,0.1998622519089211,35.381123647051425,12.291932085297741,18.63022265667923,15.756350474222838,101.92258736847867,98.74995341335463,82.57396805234636,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
6,155.0,34.400100452843645,6.579092216019753,34.400100452843645,27.792503663894312,0.07882208165789417,47.00488804253151,25.905781277311704,44.390527518879736,28.665467207380583,107.17077171088127,94.76519373107318,86.83325438800881,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
7,90.0,18.873526027917286,4.936589879852869,18.873526027917286,23.022296143138114,0.46455919091038134,22.83680406504903,12.470043669928762,17.420957047857495,10.660991291335192,91.42055743536508,81.97656093779757,70.50252127757591,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
8,72.0,14.70920621677752,2.7122899137137213,14.70920621677752,17.32944869468894,0.29438817989876587,15.316279826700306,5.434019749204035,8.444609848443651,6.902841074799823,64.5126126714264,58.70254767876232,51.385771065193424,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
9,127.0,28.12928611273139,5.913855989151402,28.12928611273139,22.912032438463655,0.03920141832822348,26.333874751623636,17.986753425283283,32.694311787794724,21.283667143505134,70.41249826593483,64.7378221342598,59.84941673891439,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
10,72.0,16.10797161245985,3.655829802114177,16.10797161245985,17.35206182544126,0.018742142335743343,12.620429841838826,5.956476731001772,10.481067269833103,7.773509296302121,59.42914154192136,51.85820824401903,45.8986607922838,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
11,81.0,54.55683423033727,7.217761254416011,54.55683423033727,25.761838460121716,6.713424876881814,13.489609079993906,15.641825858233677,20.4106723461692,15.241465550470167,68.87064444995751,62.096281215951706,51.94528464372888,Qcells,Alice2018Test,S2_new_origins,12,power-active,48
0,84.0,13.966752498697282,3.0579991758754868,13.966752498697282,16.017924372498182,0.04058198518959004,19.292011690680187,6.619528509084201,11.379874979184189,8.502278453880333,66.12125557781573,54.65523941589041,49.38141105241158,Qcells,Alice2018Test,S2_new_origins,12,power-active,72
1,108.0,32.548738887468524,6.988703482724841,32.548738887468524,31.764678803796286,0.5702527205794926,32.63862069949891,13.918491398229914,18.239065280228402,15.73185799413703,110.57881756038891,101.60506398618611,84.84319528063833,Qcells,Alice2018Test,S2_new_origins,12,power-active,72
2,126.0,30.693819032461526,7.252077912601813,30.693819032461526,31.179621174347098,0.10390236500537044,35.30406687014699,13.843787564886458,23.66799259477154,14.150505959959455,112.3337822291698,99.76798979633972,87.29401938965363,Qcells,Alice2018Test,S2_new_origins,12,power-active,72
3,155.0,35.776203374999675,6.558259215336322,35.776203374999675,35.87583255612445,0.2739775362898065,48.05489518265391,16.92572067013119,26.071334756916844,19.600355570815534,140.64354051370418,133.29670237483296,112.66939164178386,Qcells,Alice2018Test,S2_new_origins,12,power-active,72
4,200.0,44.36612836394284,9.017055179038918,44.36612836394284,38.92957723938882,0.26056124129212044,57.61204456139028,32.91065088628665,54.03450878126005,34.60931665554605,152.80035066486192,134.36943028037672,122.26547755125135,Qcells,Alice2018Test,S2_new_origins,12,power-active,72
5,117.0,23.61670433359562,5.210916830547424,23.61670433359562,29.21467126233256,0.5772082111749213,27.545927372890574,10.899193810157843,16.221585633920817,11.619982917969555,110.30359115281085,101.07487206725642,86.45606917952682,Qcells,Alice2018Test,S2_new_origins,12,power-active,72
6,163.0,36.08532864164806,7.7933911292850615,36.08532864164806,31.728766461981337,0.04219037073909289,33.52524809679036,21.05796457926735,38.18413604060806,25.263787078740524,100.74798379582849,91.1290195830952,83.23347107159698,Qcells,Alice2018Test,S2_new_origins,12,power-active,72
7,117.0,62.70876331388045,8.99405591639653,62.70876331388045,34.2971662620453,6.729178066806687,18.918665576666005,18.527091435251382,25.401915363188976,19.03485491153689,97.96430046198522,87.56329201113533,74.45989110333007,Qcells,Alice2018Test,S2_new_origins,12,power-active,72
0,82.0,11.015773134299431,3.405330863763221,11.015773134299431,15.290535344928724,0.0010573595234604513,23.123936754860214,12.11130294748773,13.962836562020598,11.843852813627041,72.14200706555835,74.77722630695008,48.403941888490465,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
1,93.0,12.439940940256946,4.487478652768619,12.439940940256946,18.646259553035698,0.0004086708399747258,30.053962576333102,14.114878815476084,18.530532430622426,13.534377572171284,82.74521657125408,83.0746169790632,56.29022840545813,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
2,93.0,11.783603036654279,4.203608294336114,11.783603036654279,18.009390164901646,0.0010015868823395528,29.886335604760607,13.579895059255646,17.619298947128524,12.603890569383227,80.3515178787403,81.4609114794981,53.883428145605315,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
3,85.0,13.581765724166901,3.390797428595595,13.581765724166901,17.666652368040808,0.0031491386558277694,25.704189718313916,12.479525405176425,12.533074372270601,12.437235662229877,80.65937165303934,85.4947602071366,58.185922157774456,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
4,85.0,14.068193835604069,3.0920486551539876,14.068193835604069,17.009265395584766,0.0004955331628351916,21.040843078830076,10.909375330385288,11.68265141872093,10.220663863419484,75.04615658412928,78.08404741018997,56.56072767001341,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
5,85.0,12.859918902315394,3.4783006905828375,12.859918902315394,17.291360889757346,0.00020198205562977741,24.798400685979605,11.810743795829326,13.470825402542971,10.906713220305763,78.47875440599393,81.79385243708933,55.16522701248803,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
6,85.0,11.928120838671697,3.804488840950492,11.928120838671697,16.57708406369597,0.0003136974468101441,24.486294819284574,11.213193666571605,14.090502798763023,10.44695168118276,73.87840198936678,74.60086007936171,52.78517089913146,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
7,76.0,7.333049006967429,2.9661585585588655,7.333049006967429,12.174041681221782,0.003243221341307103,20.24669381291337,9.372474177146785,12.091840973548791,7.55408647445386,62.35884281247046,59.92303101744862,41.808701301346865,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
8,76.0,8.395899936742703,2.9297350469120276,8.395899936742703,12.493897024629526,0.00034792895045883073,18.205871651423184,9.499236762351682,12.076300106188373,7.051273701589391,60.207215708390116,58.23267082870587,40.48219487835862,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
9,76.0,7.08804986058135,3.0829453822091275,7.08804986058135,12.596363292819282,0.002920601228102116,20.48950370428748,8.839394680474463,11.574620261831848,7.152833520988624,61.998028267538785,59.98359114134735,41.54022408544441,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
10,56.0,4.264538248002097,1.5643648780841242,4.264538248002097,7.05059674305196,0.0003207599663008607,10.928612140163523,5.990097897786609,7.417859092551977,5.771139323848181,39.749037073066404,40.26743556756585,27.74601860476095,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
11,66.0,4.7655225170313535,2.0737860031638222,4.7655225170313535,10.364956056712787,1.0782229463778703e-05,17.224446605695732,7.363557305911341,8.086451707040334,6.682216939621509,57.59327200715258,57.40864652721934,41.749394448958206,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
12,56.0,4.216931624840784,2.065005443356374,4.216931624840784,8.650311256158467,2.3662250418032534e-05,13.369138031692463,6.829250931856732,8.665060270479872,5.5679806481208995,46.12373655399803,44.90349788050145,31.24781878560804,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
13,154.0,3.4057681149744656,3.9951368327285643,3.4057681149744656,12.942519082682972,0.00038421392295132355,12.63087891732228,8.269931574906849,10.599148799345615,6.400135644933164,51.08937377034571,49.524988287288195,31.97082459340606,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
14,76.0,6.621298874565851,2.6330076181319177,6.621298874565851,10.244405821123781,0.0013197142597513609,13.931251744860404,10.399831225121927,11.491439848028504,7.950494929345439,59.83206989136203,57.0272861005708,38.99732848599842,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
15,76.0,5.431898736708222,2.034807845385097,5.431898736708222,11.518461456100564,0.00021543966502048464,15.465724932054954,9.017381796681436,9.484720896067007,6.891639878595809,61.32408318882619,62.241467308842076,40.10373373017839,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
16,85.0,11.7298192606699,3.0829420473299467,11.7298192606699,15.903126480705746,0.002417107744730295,20.25144387845264,10.081787981070821,12.475722451738022,11.673406798241942,69.11062692689052,71.56451184347802,51.988524313206504,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
17,85.0,9.185790340101253,2.656383541458559,9.185790340101253,14.81958098685345,0.00019236908753443233,19.719590502886458,9.28113926096664,11.159888605164124,9.413172259555763,69.52112258782374,71.47097353380575,51.38951451938216,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
18,85.0,9.406903807441717,3.0425749782744194,9.406903807441717,14.696914122803225,0.0010270127390942928,19.18545167448795,10.439020107853784,14.310560612856724,11.283055895674687,66.53530650624606,67.30827819370538,46.895639342906875,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
19,174.0,11.829559596039278,4.768152638117791,11.829559596039278,19.791123597843924,0.000781230103477808,17.826356622451215,11.874538529821372,16.085791243832414,11.339691984796547,71.04375122129498,68.72068891864413,47.788673399253916,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
20,85.0,9.592351633173818,3.12037783801239,9.592351633173818,14.247338497146751,0.00022692931735156916,18.381471300403856,11.164889638771198,13.676645256406836,9.973895617032275,63.80231220845313,63.207593023322055,45.07047007764664,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
21,85.0,10.030229282877915,2.8885549863665863,10.030229282877915,13.345102558301093,0.0005657998609959324,15.649532656820222,10.331414972499479,11.947926860255011,9.275392244307604,61.445026939689846,60.89338456490879,43.287519015447664,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
22,85.0,94.14477745678492,7.82805121995428,94.14477745678492,17.0449955235694,0.0010875511964380919,4.233447948302094,13.904130239867788,17.71752206886587,27.13393355367904,34.909777898431855,39.29229513483123,24.642514448006462,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
23,142.0,10.055091294589362,3.128053116884303,10.055091294589362,12.51126472405593,0.000988172235168282,16.408432580371915,8.969043560586744,12.825462058907409,9.288278914805401,62.166420508391525,60.75828536068263,46.58864076733266,Qcells,Alice2018Test,S2_new_origins,12,low-power,24
0,175.0,23.455714074556383,7.892809516531839,23.455714074556383,33.93679489796441,0.0014660303634351777,53.177899331193295,26.22618176296381,32.49336899264303,25.37823038579833,154.8872236368124,157.85184328601326,104.69417029394862,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
1,178.0,25.365368760821188,7.594405722931708,25.365368760821188,35.67604253294245,0.0041507255381673215,55.59052532307452,26.059420464432073,30.15237331939913,25.0411262316131,161.0108895317796,166.95567168663467,112.06935030337975,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
2,170.0,26.92811273791946,6.570349345736827,26.92811273791946,34.30062628534211,0.0006975152184649688,45.83924376480968,22.720119126214612,25.153476821263897,21.127377083725243,153.5249109901232,159.8778998472793,111.72595468250145,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
3,161.0,19.261169845639124,6.770647399509359,19.261169845639124,28.751125744917754,0.0035569187881172464,44.732988632197944,20.58566784371839,26.182343772311814,18.00103815563662,136.23724480183725,134.5238910968103,94.59387220047834,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
4,152.0,15.483949797324053,6.012680429121154,15.483949797324053,25.090260317448802,0.003268530178560947,38.695375355710674,18.33863144282615,23.65092036802022,14.204107222578013,122.2052439759289,118.2162619700532,82.02241896380302,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
5,122.0,9.03006076503345,3.638150881247946,9.03006076503345,17.415552799764747,0.00033154219576463925,28.15305874585925,13.353655203697949,15.504310799592309,12.453356263469688,97.34230908021898,97.67608209478517,69.49541305371916,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
6,210.0,7.622699739815251,6.06014227608494,7.622699739815251,21.592830338841445,0.00040787617336935614,26.000016949014746,15.09918250676358,19.264209069825487,11.968116293054063,97.21311032434375,94.42848616778963,63.2186433790141,Qcells,Alice2018Test,S2_new_origins,12,low-power,48
