site,method,model,seed,horizon,scope,status,points,Daily_RMSE,difference_RMS_kW,difference_MAE_kW,RMSE_bound_passed,MAE_bound_passed,old_RMSE,new_RMSE,delta_RMSE_kW,delta_RMSE_W,old_MAE,new_MAE,delta_MAE_kW,delta_MAE_W,old_bias,new_bias,delta_bias_kW,delta_bias_W,old_effect_vs_Daily,new_effect_vs_Daily,old_skill,new_skill
Sanyo,Depthwise convolutional TCN43,Depthwise convolutional TCN,43,144,power-active,diagnostic,259345,0.17941654249698688,3.280540182809301e-06,1.9149513429113694e-07,True,True,1.1086799953903541,1.108680010311141,1.492078682829856e-08,1.492078682829856e-05,0.873385850539694,0.8733858651063289,1.456663489829424e-08,1.456663489829424e-05,-0.5985592596175616,-0.5985592631521834,-3.5346218174581168e-09,-3.5346218174581168e-06,0.9292634528933672,0.929263467814154,-5.179363284792835,-5.179363367955662
Sanyo,Depthwise convolutional TCN43,Depthwise convolutional TCN,43,144,low-power,diagnostic,338972,0.0027584819230325602,5.637850348073643e-06,1.0770329123907407e-06,True,True,0.42246846064734944,0.42246844458086025,-1.606648919461051e-08,-1.606648919461051e-05,0.2484407212672983,0.24844070736465115,-1.3902647144625746e-08,-1.3902647144625746e-05,0.14252884486993078,0.14252883150558354,-1.3364347239974705e-08,-1.3364347239974705e-05,0.41970997872431687,0.4197099626578277,-152.15252100071956,-152.15251517632424
Sanyo,Depthwise convolutional TCN44,Depthwise convolutional TCN,44,12,full,diagnostic,79005,0.17521872293338112,1.1070479045371565e-05,1.35313365472448e-06,True,True,0.25442558539663485,0.2544256674431941,8.204655926880022e-08,8.204655926880022e-05,0.20036762862585675,0.2003677143159089,8.569005216507719e-08,8.569005216507719e-05,0.16605018815676403,0.16605024209336422,5.3936600186155204e-08,5.3936600186155204e-05,0.07920686246325373,0.079206944509813,-0.45204565549406794,-0.4520461237463065
Sanyo,Depthwise convolutional TCN44,Depthwise convolutional TCN,44,12,power-active,diagnostic,36190,0.2588756697513815,1.6270205238350707e-05,2.5887850339520073e-06,True,True,0.3205088082066039,0.320508905559024,9.735242012531842e-08,9.735242012531842e-05,0.2571223084909806,0.2571224671177325,1.5862675190048137e-07,0.00015862675190048137,0.18508356021242137,0.1850836539493308,9.373690942893198e-08,9.373690942893198e-05,0.06163313845522239,0.06163323580764252,-0.23808007339744797,-0.2380804494560409
Sanyo,Depthwise convolutional TCN44,Depthwise convolutional TCN,44,12,low-power,diagnostic,42815,0.002410485891560714,1.5457236002634183e-06,3.0868139700535793e-07,True,True,0.18060400448168704,0.18060407172947773,6.72477906971114e-08,6.72477906971114e-05,0.1523949119536897,0.15239493599293807,2.4039248369689403e-08,2.4039248369689403e-05,0.14996195425055733,0.14996197454536866,2.0294811331478257e-08,2.0294811331478257e-05,0.17819351859012633,0.17819358583791703,-73.92431509928963,-73.92434299731256
Sanyo,Depthwise convolutional TCN44,Depthwise convolutional TCN,44,144,full,diagnostic,598317,0.11814159529269164,4.008331444227954e-06,6.917016833887596e-07,True,True,0.7960019096427388,0.7960019115704824,1.9277436313913654e-09,1.9277436313913654e-06,0.517853179339162,0.5178531645485075,-1.4790654478957777e-08,-1.4790654478957777e-05,-0.16439810030385774,-0.1643981630724204,-6.276856265308162e-08,-6.276856265308162e-05,0.6778603143500471,0.6778603162777908,-5.737693931342911,-5.7376939476601425
Sanyo,Depthwise convolutional TCN44,Depthwise convolutional TCN,44,144,power-active,diagnostic,259345,0.17941654249698688,2.9275341516605326e-06,3.2558261652551475e-07,True,True,1.1117118169741076,1.1117118194568998,2.4827921940584474e-09,2.4827921940584474e-06,0.8628253392211213,0.8628253206051698,-1.8615951447031875e-08,-1.8615951447031875e-05,-0.5748610924096978,-0.5748610685347733,2.387492459288154e-08,2.387492459288154e-05,0.9322952744771207,0.9322952769599129,-5.1962615124677125,-5.196261526305858
Sanyo,Depthwise convolutional TCN44,Depthwise convolutional TCN,44,144,low-power,diagnostic,338972,0.0027584819230325602,4.669267431870139e-06,9.718167058556544e-07,True,True,0.4157112681662109,0.4157112696016854,1.4354745170308547e-09,1.4354745170308547e-06,0.2539175008625128,0.253917488998565,-1.1863947824153342e-08,-1.1863947824153342e-05,0.14964413530170584,0.14964400624284427,-1.2905886156988622e-07,-0.00012905886156988622,0.4129527862431783,0.41295278767865284,-149.7029155040448,-149.70291602443046
Sanyo,Discrete recurrent decoder42,Discrete recurrent decoder,42,12,full,diagnostic,79005,0.17521872293338112,2.6315357484901244e-06,1.1685653414800698e-06,True,True,0.20706111265960953,0.20706110832069258,-4.33891694795463e-09,-4.33891694795463e-06,0.1358979996338704,0.13589801308400992,1.3450139529913585e-08,1.3450139529913585e-05,-0.014910999009597772,-0.014910988291027466,1.071857030562895e-08,1.071857030562895e-05,0.03184238972622841,0.03184238538731146,-0.18172937910485176,-0.18172935434199045
Sanyo,Discrete recurrent decoder42,Discrete recurrent decoder,42,12,power-active,diagnostic,36190,0.2588756697513815,3.79080973957673e-06,2.003447471296404e-06,True,True,0.29600559732036247,0.29600559194110526,-5.379257206339361e-09,-5.379257206339361e-06,0.22631711233212523,0.22631714452579735,3.219367211704238e-08,3.219367211704238e-05,-0.09489966559544552,-0.09489963283813056,3.275731495777645e-08,3.275731495777645e-05,0.03712992756898098,0.037129922189723774,-0.14342764464748559,-0.14342762386817776
