block,count,Original A_SSE,Original B_SSE,Expanded A_SSE,Expanded B_SSE,Inverted42_SSE,Inverted43_SSE,Inverted44_SSE,Daily_SSE,Last-value_SSE,site,period,support,horizon,scope,block_hours
79,41472.0,100241712.73248038,32023233.600272994,100241244.78739402,32023233.600272994,108086910.02429654,109150238.4211018,113465181.47843117,41179185.05637693,309743359.49403936,NIST_GROUND,2017,complete_H144,144,full,24
80,16128.0,34803432.68411322,26384073.367387168,34803593.3276826,26384073.367387168,59055793.354997054,55884826.512003176,60638674.0553502,34240950.75220217,16019044.033046441,NIST_GROUND,2017,complete_H144,144,full,24
81,41184.0,97309293.12833482,99313675.2614461,97309055.44766343,99313675.2614461,96520223.16054897,95220039.6879531,97560657.28581499,146661328.6837051,358859477.5009478,NIST_GROUND,2017,complete_H144,144,full,24
82,41472.0,61136378.198469214,65011073.45217378,61136435.86531306,65011073.45217378,70862913.99126229,65307436.6241826,74845167.60998206,134857265.5280644,32236524.381656084,NIST_GROUND,2017,complete_H144,144,full,24
83,41472.0,109565620.56776376,30226562.499479905,109565682.76837699,30226562.499479905,77018215.42663623,72830432.19925876,86100698.86478819,18399344.03125056,2373607.052076241,NIST_GROUND,2017,complete_H144,144,full,24
84,20592.0,36129499.12894222,7741029.356873651,36128365.774397455,7741029.356873651,100384237.03720613,92922030.16841118,109395145.33077577,13405472.622205395,19703896.436847597,NIST_GROUND,2017,complete_H144,144,full,24
85,41328.0,146150822.08646554,120611638.24991356,146151823.24852723,120611638.24991356,98398508.68550198,103464493.59632537,99808904.76079257,162566281.8991915,378387729.0589291,NIST_GROUND,2017,complete_H144,144,full,24
86,41472.0,130322194.22629806,31995872.072910808,130322132.12106717,31995872.072910808,90829972.43511312,90533655.41255529,89737927.21499455,33647997.509270646,383511026.52486897,NIST_GROUND,2017,complete_H144,144,full,24
87,41472.0,82575495.46786052,51069765.31535838,82576025.53698799,51069765.31535838,67237706.05116026,63438436.24831458,65236600.23788364,88575580.30714247,179337425.83392614,NIST_GROUND,2017,complete_H144,144,full,24
88,16272.0,57355505.23767967,37922993.13308217,57355541.68907469,37922993.13308217,29783263.83394247,24780939.377279066,23671769.758931827,39225346.83153309,96189667.49962714,NIST_GROUND,2017,complete_H144,144,full,24
89,22969.0,43263930.92495577,17770142.73158969,43265169.99377385,17770142.73158969,41646758.78370611,40028432.09146142,41136504.18724112,9661033.966332838,121342215.7183701,NIST_GROUND,2017,complete_H144,144,full,24
90,20355.0,27885491.36875803,21068414.883421287,27885205.516908213,21068414.883421287,40000970.86461055,35066142.43347418,36810461.028384365,31170112.146659058,20337697.702120367,NIST_GROUND,2017,complete_H144,144,full,24
91,39888.0,33949877.0964832,19712826.959676746,33950209.05808517,19712826.959676746,82654796.30323225,78243929.35436273,88373116.98488893,38975608.70141903,67266135.89763649,NIST_GROUND,2017,complete_H144,144,full,24
0,57312.0,157457084.59079728,59624549.26456757,157457062.42564836,59624549.26456757,54267249.88657794,58037136.43542707,53683821.3122983,75289543.28512524,717392136.9727794,NIST_GROUND,2017,complete_H144,144,full,48
1,45764.0,76848353.62340125,13030651.01779959,76849201.32048175,13030651.01779959,46249230.94772441,49432049.83803652,44976002.36654419,4257797.293159801,612411343.9582916,NIST_GROUND,2017,complete_H144,144,full,48
